date,open,high,low,close,volume,average,barCount
2025-03-28,221.62,223.82,217.68,217.86,-1.0,-1.0,-1
2025-03-31,217.0,224.14,216.25,222.09,-1.0,-1.0,-1
2025-04-01,219.83,223.48,218.89,223.14,-1.0,-1.0,-1
2025-04-02,221.29,225.18,221.08,223.83,-1.0,-1.0,-1
2025-04-03,205.66,207.48,201.25,203.05,-1.0,-1.0,-1
2025-04-04,193.91,199.86,187.34,188.39,-1.0,-1.0,-1
2025-04-07,177.28,194.15,174.64,181.56,-1.0,-1.0,-1
2025-04-08,186.47,190.33,169.22,172.8,-1.0,-1.0,-1
2025-04-09,172.06,200.6,171.92,198.9,-1.0,-1.0,-1
2025-04-10,189.05,194.76,183.03,190.55,-1.0,-1.0,-1
2025-04-11,186.14,199.52,186.14,198.03,-1.0,-1.0,-1
2025-04-14,211.44,212.93,201.19,202.59,-1.0,-1.0,-1
2025-04-15,201.86,203.52,199.83,202.06,-1.0,-1.0,-1
2025-04-16,198.33,200.71,192.37,194.3,-1.0,-1.0,-1
2025-04-17,197.11,198.83,194.44,196.93,-1.0,-1.0,-1
2025-04-21,193.31,193.76,189.81,193.03,-1.0,-1.0,-1
2025-04-22,196.0,201.6,196.0,199.57,-1.0,-1.0,-1
2025-04-23,206.03,208.0,202.79,204.38,-1.0,-1.0,-1
2025-04-24,204.97,208.83,202.96,208.24,-1.0,-1.0,-1
2025-04-25,206.2,209.44,206.2,209.19,-1.0,-1.0,-1
2025-04-28,210.04,211.5,207.47,210.08,-1.0,-1.0,-1
2025-04-29,208.75,212.18,208.36,211.23,-1.0,-1.0,-1
2025-04-30,209.3,213.55,206.69,212.49,-1.0,-1.0,-1
2025-05-01,209.04,214.56,208.94,212.84,-1.0,-1.0,-1
2025-05-02,206.21,206.99,202.17,205.25,-1.0,-1.0,-1
2025-05-05,203.13,204.07,198.22,198.77,-1.0,-1.0,-1
2025-05-06,198.21,200.64,197.21,198.43,-1.0,-1.0,-1
2025-05-07,199.19,199.44,193.26,196.23,-1.0,-1.0,-1
2025-05-08,197.74,200.05,194.67,197.45,-1.0,-1.0,-1
2025-05-09,198.95,200.54,197.53,198.5,-1.0,-1.0,-1
2025-05-12,210.97,211.25,206.75,210.81,-1.0,-1.0,-1
2025-05-13,210.43,213.4,209.11,212.85,-1.0,-1.0,-1
2025-05-14,212.37,213.94,210.59,212.42,-1.0,-1.0,-1
2025-05-15,210.98,212.97,209.53,211.43,-1.0,-1.0,-1
2025-05-16,212.36,212.5,209.77,211.19,-1.0,-1.0,-1
2025-05-19,207.94,209.48,204.26,208.72,-1.0,-1.0,-1
2025-05-20,207.71,208.48,205.03,206.87,-1.0,-1.0,-1
2025-05-21,205.13,207.05,200.71,202.05,-1.0,-1.0,-1
2025-05-22,200.72,202.68,199.72,201.37,-1.0,-1.0,-1
