date,open,high,low,close,volume,average,barCount
2025-03-27,396.5,401.41,392.63,396.01,-1.0,-1.0,-1
2025-03-28,394.83,396.2,384.85,385.8,-1.0,-1.0,-1
2025-03-31,380.46,384.59,374.76,383.47,-1.0,-1.0,-1
2025-04-01,381.13,383.86,375.59,383.15,-1.0,-1.0,-1
2025-04-02,379.5,387.97,376.53,385.6,-1.0,-1.0,-1
2025-04-03,371.88,376.17,366.29,367.24,-1.0,-1.0,-1
2025-04-04,359.6,361.63,348.87,348.88,-1.0,-1.0,-1
2025-04-07,337.31,358.17,332.15,340.69,-1.0,-1.0,-1
2025-04-08,349.84,350.68,333.94,340.09,-1.0,-1.0,-1
2025-04-09,340.05,365.62,333.56,364.03,-1.0,-1.0,-1
2025-04-10,358.47,362.74,341.49,350.3,-1.0,-1.0,-1
2025-04-11,351.17,353.08,342.72,352.26,-1.0,-1.0,-1
2025-04-14,360.06,361.96,348.53,350.95,-1.0,-1.0,-1
2025-04-15,350.75,356.55,349.18,350.32,-1.0,-1.0,-1
2025-04-16,345.32,350.38,341.36,344.24,-1.0,-1.0,-1
2025-04-17,349.65,351.88,345.5,348.76,-1.0,-1.0,-1
2025-04-21,345.07,346.83,338.63,343.25,-1.0,-1.0,-1
2025-04-22,347.97,352.09,344.54,349.81,-1.0,-1.0,-1
2025-04-23,357.65,363.08,349.78,351.55,-1.0,-1.0,-1
2025-04-24,353.5,361.08,353.24,360.82,-1.0,-1.0,-1
2025-04-25,361.7,369.3,359.97,367.67,-1.0,-1.0,-1
2025-04-28,368.77,370.84,364.62,368.52,-1.0,-1.0,-1
2025-04-29,366.86,373.83,366.5,371.0,-1.0,-1.0,-1
2025-04-30,366.43,375.98,363.62,374.66,-1.0,-1.0,-1
2025-05-01,378.28,380.45,374.14,374.47,-1.0,-1.0,-1
2025-05-02,380.09,383.52,379.07,380.77,-1.0,-1.0,-1
2025-05-05,378.31,384.51,378.27,381.13,-1.0,-1.0,-1
2025-05-06,376.57,386.53,375.66,382.93,-1.0,-1.0,-1
2025-05-07,384.53,387.86,380.94,385.04,-1.0,-1.0,-1
2025-05-08,388.3,388.69,383.43,383.91,-1.0,-1.0,-1
2025-05-09,385.9,388.7,382.54,383.26,-1.0,-1.0,-1
2025-05-12,394.26,397.8,392.75,395.84,-1.0,-1.0,-1
2025-05-13,395.35,399.61,394.7,397.25,-1.0,-1.0,-1
2025-05-14,396.3,400.04,396.15,399.38,-1.0,-1.0,-1
2025-05-15,398.98,404.84,398.97,404.63,-1.0,-1.0,-1
2025-05-16,415.47,421.8,412.14,417.13,-1.0,-1.0,-1
2025-05-19,413.72,421.26,413.39,420.75,-1.0,-1.0,-1
2025-05-20,418.68,419.23,414.36,417.59,-1.0,-1.0,-1
2025-05-21,414.86,422.94,412.5,413.97,-1.0,-1.0,-1
2025-05-22,411.75,417.92,411.75,414.34,-1.0,-1.0,-1
2025-05-23,409.5,411.43,407.17,407.5,-1.0,-1.0,-1
2025-05-27,412.93,414.88,411.54,413.22,-1.0,-1.0,-1
2025-05-28,413.46,416.35,411.39,412.13,-1.0,-1.0,-1
2025-05-29,414.73,415.2,410.33,413.27,-1.0,-1.0,-1
2025-05-30,414.17,417.87,411.44,414.97,-1.0,-1.0,-1
2025-06-02,408.89,410.1,396.79,403.16,-1.0,-1.0,-1
2025-06-03,403.46,412.65,402.62,412.45,-1.0,-1.0,-1
2025-06-04,412.01,415.91,410.44,413.98,-1.0,-1.0,-1
2025-06-05,415.17,421.49,414.0,415.29,-1.0,-1.0,-1
2025-06-06,417.6,419.72,415.22,416.72,-1.0,-1.0,-1
2025-06-09,417.3,418.94,415.18,416.13,-1.0,-1.0,-1
2025-06-10,416.61,419.88,414.45,416.04,-1.0,-1.0,-1
2025-06-11,415.71,416.08,410.42,412.79,-1.0,-1.0,-1
2025-06-12,411.35,416.41,411.01,414.07,-1.0,-1.0,-1
2025-06-13,393.58,399.84,383.8,391.96,-1.0,-1.0,-1
2025-06-16,392.86,404.96,391.11,401.69,-1.0,-1.0,-1
2025-06-17,398.36,399.67,381.84,382.6,-1.0,-1.0,-1
2025-06-18,383.99,385.24,377.6,377.97,-1.0,-1.0,-1
2025-06-20,380.06,382.21,373.8,376.93,-1.0,-1.0,-1
2025-06-23,376.75,380.22,374.39,380.0,-1.0,-1.0,-1
2025-06-24,384.49,384.75,378.56,382.04,-1.0,-1.0,-1
2025-06-25,383.6,388.0,382.38,387.53,-1.0,-1.0,-1
2025-06-26,387.85,389.74,382.84,384.97,-1.0,-1.0,-1
2025-06-27,386.37,390.24,384.4,385.81,-1.0,-1.0,-1
2025-06-30,387.3,390.9,384.74,386.76,-1.0,-1.0,-1
2025-07-01,385.75,392.55,381.59,392.0,-1.0,-1.0,-1
2025-07-02,384.58,386.66,372.79,378.42,-1.0,-1.0,-1
2025-07-03,377.93,383.2,377.9,379.43,-1.0,-1.0,-1
2025-07-07,378.9,382.05,375.64,376.83,-1.0,-1.0,-1
2025-07-08,377.99,386.54,377.25,382.07,-1.0,-1.0,-1
2025-07-09,384.14,384.62,370.89,373.35,-1.0,-1.0,-1
2025-07-10,371.99,373.49,365.68,371.38,-1.0,-1.0,-1
2025-07-11,369.39,371.2,362.73,363.22,-1.0,-1.0,-1
2025-07-14,363.08,367.7,360.34,366.82,-1.0,-1.0,-1
2025-07-15,367.75,368.31,363.99,364.1,-1.0,-1.0,-1
2025-07-16,364.21,365.31,358.91,361.62,-1.0,-1.0,-1
2025-07-17,361.02,366.96,359.28,366.37,-1.0,-1.0,-1
2025-07-18,367.15,367.59,363.95,365.67,-1.0,-1.0,-1
2025-07-21,365.85,368.27,363.16,367.54,-1.0,-1.0,-1
2025-07-22,368.41,374.42,368.06,372.83,-1.0,-1.0,-1
2025-07-23,373.38,373.78,369.45,372.52,-1.0,-1.0,-1
2025-07-24,371.64,375.88,370.61,371.69,-1.0,-1.0,-1
2025-07-25,372.29,372.41,369.61,370.81,-1.0,-1.0,-1
2025-07-28,370.75,372.31,368.62,369.43,-1.0,-1.0,-1
2025-07-29,370.33,376.17,369.84,370.7,-1.0,-1.0,-1
2025-07-30,369.63,370.74,363.54,364.0,-1.0,-1.0,-1
2025-07-31,362.64,363.33,354.52,357.67,-1.0,-1.0,-1
2025-08-01,355.73,356.31,347.43,347.73,-1.0,-1.0,-1
