date,open,high,low,close,volume,average,barCount
2025-03-27,200.88,203.78,199.31,201.36,-1.0,-1.0,-1
2025-03-28,198.41,199.26,191.89,192.64,-1.0,-1.0,-1
2025-03-31,188.11,191.35,184.64,190.28,-1.0,-1.0,-1
2025-04-01,187.87,193.93,187.21,192.16,-1.0,-1.0,-1
2025-04-02,187.65,198.34,187.65,195.97,-1.0,-1.0,-1
2025-04-03,182.93,184.13,176.92,178.35,-1.0,-1.0,-1
2025-04-04,167.13,178.14,166.05,170.99,-1.0,-1.0,-1
2025-04-07,161.8,183.41,161.4,175.49,-1.0,-1.0,-1
2025-04-08,185.15,185.86,168.66,171.05,-1.0,-1.0,-1
2025-04-09,172.12,192.63,169.94,190.94,-1.0,-1.0,-1
2025-04-10,185.51,186.88,175.86,181.1,-1.0,-1.0,-1
2025-04-11,179.89,185.87,177.99,184.8,-1.0,-1.0,-1
2025-04-14,186.79,187.32,179.23,182.1,-1.0,-1.0,-1
2025-04-15,181.33,182.34,177.94,179.58,-1.0,-1.0,-1
2025-04-16,176.33,179.1,171.41,174.39,-1.0,-1.0,-1
2025-04-17,176.12,176.12,172.0,172.59,-1.0,-1.0,-1
2025-04-21,169.63,169.64,165.28,167.29,-1.0,-1.0,-1
2025-04-22,169.82,176.77,169.36,173.16,-1.0,-1.0,-1
2025-04-23,183.46,187.37,180.19,180.54,-1.0,-1.0,-1
2025-04-24,180.88,186.74,180.18,186.48,-1.0,-1.0,-1
2025-04-25,187.56,189.93,185.5,188.97,-1.0,-1.0,-1
2025-04-28,190.11,190.22,184.88,187.67,-1.0,-1.0,-1
2025-04-29,183.99,188.02,183.68,187.4,-1.0,-1.0,-1
2025-04-30,182.13,185.06,178.85,184.32,-1.0,-1.0,-1
2025-05-01,190.6,191.81,187.51,189.84,-1.0,-1.0,-1
2025-05-02,191.46,192.87,186.41,189.94,-1.0,-1.0,-1
2025-05-05,186.37,188.18,185.55,186.37,-1.0,-1.0,-1
2025-05-06,184.59,187.94,183.87,184.97,-1.0,-1.0,-1
2025-05-07,185.67,190.99,185.02,188.79,-1.0,-1.0,-1
2025-05-08,191.48,194.33,188.83,192.13,-1.0,-1.0,-1
2025-05-09,193.38,194.68,191.16,193.06,-1.0,-1.0,-1
2025-05-12,210.63,211.64,205.74,208.74,-1.0,-1.0,-1
2025-05-13,211.0,214.84,210.11,211.18,-1.0,-1.0,-1
2025-05-14,211.38,211.92,209.22,210.22,-1.0,-1.0,-1
2025-05-15,206.37,206.85,202.69,205.16,-1.0,-1.0,-1
2025-05-16,206.58,206.69,204.38,205.56,-1.0,-1.0,-1
2025-05-19,201.64,206.62,201.27,206.1,-1.0,-1.0,-1
2025-05-20,204.65,205.56,202.65,204.13,-1.0,-1.0,-1
2025-05-21,201.61,203.46,200.06,201.1,-1.0,-1.0,-1
2025-05-22,201.39,205.73,200.16,203.06,-1.0,-1.0,-1
2025-05-23,198.84,202.37,197.85,201.02,-1.0,-1.0,-1
2025-05-27,202.99,206.69,202.18,206.0,-1.0,-1.0,-1
2025-05-28,205.92,207.66,204.41,204.8,-1.0,-1.0,-1
2025-05-29,208.03,208.81,204.22,205.68,-1.0,-1.0,-1
2025-05-30,204.8,205.99,201.68,204.65,-1.0,-1.0,-1
2025-06-02,204.74,206.99,202.68,206.71,-1.0,-1.0,-1
2025-06-03,207.11,208.94,205.03,205.78,-1.0,-1.0,-1
2025-06-04,206.6,208.18,205.18,207.24,-1.0,-1.0,-1
2025-06-05,209.5,212.81,207.62,207.88,-1.0,-1.0,-1
2025-06-06,212.42,213.87,210.51,213.53,-1.0,-1.0,-1
2025-06-09,214.81,217.85,212.89,216.93,-1.0,-1.0,-1
2025-06-10,216.64,217.7,214.16,217.56,-1.0,-1.0,-1
2025-06-11,217.51,218.39,212.89,213.18,-1.0,-1.0,-1
2025-06-12,211.76,213.58,211.37,213.24,-1.0,-1.0,-1
2025-06-13,209.96,214.04,209.65,212.1,-1.0,-1.0,-1
2025-06-16,212.3,217.06,211.61,216.15,-1.0,-1.0,-1
2025-06-17,215.2,217.42,214.56,214.82,-1.0,-1.0,-1
2025-06-18,215.09,217.96,212.44,212.44,-1.0,-1.0,-1
2025-06-20,214.44,214.88,208.27,209.6,-1.0,-1.0,-1
2025-06-23,209.81,210.38,207.32,208.48,-1.0,-1.0,-1
2025-06-24,212.13,214.34,211.04,212.79,-1.0,-1.0,-1
2025-06-25,214.59,216.03,211.11,212.06,-1.0,-1.0,-1
2025-06-26,213.12,218.04,212.01,217.13,-1.0,-1.0,-1
2025-06-27,220.02,223.24,216.74,223.17,-1.0,-1.0,-1
2025-06-30,223.45,223.82,219.12,219.38,-1.0,-1.0,-1
2025-07-01,219.55,221.88,217.94,220.46,-1.0,-1.0,-1
2025-07-02,219.69,221.61,219.06,219.88,-1.0,-1.0,-1
2025-07-03,221.86,224.0,221.36,223.27,-1.0,-1.0,-1
2025-07-07,223.09,224.29,222.37,223.48,-1.0,-1.0,-1
2025-07-08,223.92,224.01,218.43,219.33,-1.0,-1.0,-1
2025-07-09,221.06,224.29,220.48,222.46,-1.0,-1.0,-1
2025-07-10,221.66,222.79,219.7,222.25,-1.0,-1.0,-1
2025-07-11,223.5,226.68,222.36,224.98,-1.0,-1.0,-1
2025-07-14,225.15,226.66,224.24,225.61,-1.0,-1.0,-1
2025-07-15,226.15,227.27,225.45,226.3,-1.0,-1.0,-1
2025-07-16,225.86,226.09,222.18,223.17,-1.0,-1.0,-1
2025-07-17,223.27,224.49,222.52,223.96,-1.0,-1.0,-1
2025-07-18,225.19,226.35,222.98,226.12,-1.0,-1.0,-1
2025-07-21,225.84,229.69,225.7,229.3,-1.0,-1.0,-1
2025-07-22,229.67,230.0,226.34,227.47,-1.0,-1.0,-1
2025-07-23,228.4,228.8,227.08,228.29,-1.0,-1.0,-1
2025-07-24,229.17,234.08,228.64,232.23,-1.0,-1.0,-1
2025-07-25,232.07,232.48,231.18,231.45,-1.0,-1.0,-1
2025-07-28,233.5,234.28,232.24,232.8,-1.0,-1.0,-1
2025-07-29,234.23,234.73,230.31,231.05,-1.0,-1.0,-1
2025-07-30,231.65,231.8,229.28,230.25,-1.0,-1.0,-1
2025-07-31,235.73,236.54,231.42,234.06,-1.0,-1.0,-1
2025-08-01,217.07,220.43,212.81,214.86,-1.0,-1.0,-1
2025-08-04,217.45,217.46,211.41,211.69,-1.0,-1.0,-1
2025-08-05,213.05,216.3,212.87,213.83,-1.0,-1.0,-1
2025-08-06,214.67,222.58,213.75,222.33,-1.0,-1.0,-1
2025-08-07,220.91,226.22,220.82,223.18,-1.0,-1.0,-1
2025-08-08,223.26,223.79,221.88,222.69,-1.0,-1.0,-1
2025-08-11,221.98,223.03,220.4,221.33,-1.0,-1.0,-1
2025-08-12,222.21,223.52,219.06,221.43,-1.0,-1.0,-1
2025-08-13,222.07,224.91,222.06,224.56,-1.0,-1.0,-1
2025-08-14,227.45,233.11,227.1,230.89,-1.0,-1.0,-1
2025-08-15,232.55,234.08,229.8,231.05,-1.0,-1.0,-1
2025-08-18,230.22,231.91,228.33,231.43,-1.0,-1.0,-1
2025-08-19,230.05,230.5,227.12,228.02,-1.0,-1.0,-1
2025-08-20,227.1,227.26,220.91,223.79,-1.0,-1.0,-1
2025-08-21,222.59,222.76,220.54,221.93,-1.0,-1.0,-1
2025-08-22,222.75,229.07,220.82,228.84,-1.0,-1.0,-1
2025-08-25,227.48,229.6,227.26,227.9,-1.0,-1.0,-1
2025-08-26,227.18,228.85,226.01,228.67,-1.0,-1.0,-1
2025-08-27,228.46,229.86,227.82,229.04,-1.0,-1.0,-1
2025-08-28,229.15,232.68,228.01,231.56,-1.0,-1.0,-1
2025-08-29,231.5,231.82,228.15,229.04,-1.0,-1.0,-1
2025-09-02,223.62,226.0,221.82,225.33,-1.0,-1.0,-1
2025-09-03,225.25,227.15,224.35,225.99,-1.0,-1.0,-1
2025-09-04,231.19,235.77,230.78,235.68,-1.0,-1.0,-1
2025-09-05,235.2,235.99,231.92,232.35,-1.0,-1.0,-1
2025-09-08,234.93,237.6,233.75,235.86,-1.0,-1.0,-1
2025-09-09,236.32,238.85,235.08,238.25,-1.0,-1.0,-1
2025-09-10,237.48,237.6,229.1,230.36,-1.0,-1.0,-1
2025-09-11,231.43,231.53,229.32,229.96,-1.0,-1.0,-1
2025-09-12,230.35,230.76,226.3,228.1,-1.0,-1.0,-1
2025-09-15,230.63,233.73,230.33,231.45,-1.0,-1.0,-1
2025-09-16,232.92,235.91,232.24,234.06,-1.0,-1.0,-1
2025-09-17,233.72,234.27,228.71,231.63,-1.0,-1.0,-1
2025-09-18,232.57,233.47,228.78,231.23,-1.0,-1.0,-1
2025-09-19,232.5,234.17,230.53,231.61,-1.0,-1.0,-1
2025-09-22,230.7,230.7,227.51,227.63,-1.0,-1.0,-1
2025-09-23,227.84,227.87,220.08,220.74,-1.0,-1.0,-1
2025-09-24,224.31,224.55,219.45,220.22,-1.0,-1.0,-1
2025-09-25,220.04,220.66,216.47,218.13,-1.0,-1.0,-1
2025-09-26,219.1,221.05,218.04,219.81,-1.0,-1.0,-1
2025-09-29,220.04,222.44,219.29,222.16,-1.0,-1.0,-1
2025-09-30,222.03,222.24,217.89,219.55,-1.0,-1.0,-1
2025-10-01,217.37,222.15,216.63,220.61,-1.0,-1.0,-1
2025-10-02,221.08,222.82,218.94,222.41,-1.0,-1.0,-1
2025-10-03,223.44,224.2,219.34,219.49,-1.0,-1.0,-1
2025-10-06,220.9,221.72,216.04,220.88,-1.0,-1.0,-1
2025-10-07,220.89,222.9,220.19,221.8,-1.0,-1.0,-1
2025-10-08,223.0,226.74,221.18,225.19,-1.0,-1.0,-1
2025-10-09,225.0,228.21,221.75,227.73,-1.0,-1.0,-1
2025-10-10,226.15,228.26,216.15,216.17,-1.0,-1.0,-1
2025-10-13,217.75,220.67,217.05,220.0,-1.0,-1.0,-1
2025-10-14,215.56,219.32,212.59,216.42,-1.0,-1.0,-1
2025-10-15,216.63,217.7,212.65,215.61,-1.0,-1.0,-1
2025-10-16,215.69,218.6,212.81,214.48,-1.0,-1.0,-1
2025-10-17,214.48,214.78,211.04,213.04,-1.0,-1.0,-1
2025-10-20,213.94,216.65,213.6,216.47,-1.0,-1.0,-1
2025-10-21,218.29,223.33,217.98,222.04,-1.0,-1.0,-1
2025-10-22,219.31,220.01,216.52,217.97,-1.0,-1.0,-1
2025-10-23,218.93,221.3,218.17,221.06,-1.0,-1.0,-1
2025-10-24,221.92,225.4,221.91,224.25,-1.0,-1.0,-1
2025-10-27,227.75,228.39,225.54,227.0,-1.0,-1.0,-1
2025-10-28,228.22,231.49,226.21,229.26,-1.0,-1.0,-1
2025-10-29,231.84,232.8,227.76,230.33,-1.0,-1.0,-1
2025-10-30,226.98,228.44,222.74,222.83,-1.0,-1.0,-1
2025-10-31,250.22,250.42,243.98,244.17,-1.0,-1.0,-1
2025-11-03,255.5,258.59,252.96,254.06,-1.0,-1.0,-1
2025-11-04,250.38,255.44,248.66,249.43,-1.0,-1.0,-1
2025-11-05,249.03,250.99,246.16,250.25,-1.0,-1.0,-1
2025-11-06,249.16,250.37,242.18,243.09,-1.0,-1.0,-1
2025-11-07,242.88,244.9,238.49,244.42,-1.0,-1.0,-1
2025-11-10,248.32,251.75,245.6,248.4,-1.0,-1.0,-1
2025-11-11,248.35,249.73,247.23,249.11,-1.0,-1.0,-1
2025-11-12,250.08,250.37,243.74,244.25,-1.0,-1.0,-1
2025-11-13,243.02,243.73,236.58,237.6,-1.0,-1.0,-1
2025-11-14,235.0,238.74,232.9,234.72,-1.0,-1.0,-1
2025-11-17,233.05,234.54,229.19,232.86,-1.0,-1.0,-1
2025-11-18,228.1,230.21,222.43,222.56,-1.0,-1.0,-1
2025-11-19,223.74,223.74,218.53,222.69,-1.0,-1.0,-1
2025-11-20,227.05,227.42,216.73,217.13,-1.0,-1.0,-1
2025-11-21,216.38,222.21,215.18,220.67,-1.0,-1.0,-1
2025-11-24,222.56,227.23,222.27,226.09,-1.0,-1.0,-1
2025-11-25,226.38,230.52,223.8,229.59,-1.0,-1.0,-1
2025-11-26,230.81,231.75,228.76,229.1,-1.0,-1.0,-1
2025-11-28,231.33,233.29,230.25,233.22,-1.0,-1.0,-1
2025-12-01,233.27,235.8,232.26,233.98,-1.0,-1.0,-1
2025-12-02,234.97,238.96,233.56,234.38,-1.0,-1.0,-1
2025-12-03,233.34,233.37,230.6,232.37,-1.0,-1.0,-1
2025-12-04,232.81,233.46,226.8,229.12,-1.0,-1.0,-1
2025-12-05,230.38,231.24,228.54,229.54,-1.0,-1.0,-1
2025-12-08,229.56,230.84,226.3,227.0,-1.0,-1.0,-1
2025-12-09,226.93,228.57,225.12,227.93,-1.0,-1.0,-1
2025-12-10,228.82,232.42,228.46,231.7,-1.0,-1.0,-1
2025-12-11,230.97,232.11,228.7,230.27,-1.0,-1.0,-1
2025-12-12,229.87,230.15,225.12,226.19,-1.0,-1.0,-1
2025-12-15,227.85,227.85,221.9,222.53,-1.0,-1.0,-1
2025-12-16,223.14,223.66,221.14,222.55,-1.0,-1.0,-1
2025-12-17,224.75,225.16,221.18,221.26,-1.0,-1.0,-1
2025-12-18,225.71,229.23,224.4,226.81,-1.0,-1.0,-1
2025-12-19,226.95,229.13,225.58,227.38,-1.0,-1.0,-1
2025-12-22,228.67,229.48,226.7,228.43,-1.0,-1.0,-1
2025-12-23,228.98,232.45,228.72,232.12,-1.0,-1.0,-1
2025-12-24,232.06,232.96,231.32,232.4,-1.0,-1.0,-1
2025-12-26,232.04,232.99,231.19,232.53,-1.0,-1.0,-1
2025-12-29,231.95,232.6,230.77,232.08,-1.0,-1.0,-1
2025-12-30,231.21,232.77,230.19,232.48,-1.0,-1.0,-1
2025-12-31,232.91,232.97,230.68,230.84,-1.0,-1.0,-1
2026-01-02,231.16,235.45,224.7,226.48,-1.0,-1.0,-1
2026-01-05,228.9,234.0,227.18,233.05,-1.0,-1.0,-1
2026-01-06,232.13,243.16,232.1,240.88,-1.0,-1.0,-1
2026-01-07,239.75,245.28,239.54,241.56,-1.0,-1.0,-1
2026-01-08,243.06,246.41,241.87,246.26,-1.0,-1.0,-1
2026-01-09,244.68,247.82,242.25,247.31,-1.0,-1.0,-1
2026-01-12,246.74,248.93,245.96,246.42,-1.0,-1.0,-1
2026-01-13,246.65,247.66,240.25,242.58,-1.0,-1.0,-1
2026-01-14,241.1,241.29,236.23,236.68,-1.0,-1.0,-1
2026-01-15,239.44,240.66,236.63,238.19,-1.0,-1.0,-1
2026-01-16,239.03,239.58,236.41,239.08,-1.0,-1.0,-1
2026-01-20,233.68,235.08,229.34,231.12,-1.0,-1.0,-1
2026-01-21,231.2,232.27,226.89,231.32,-1.0,-1.0,-1
2026-01-22,234.05,235.72,230.91,234.32,-1.0,-1.0,-1
2026-01-23,234.96,240.44,234.63,239.18,-1.0,-1.0,-1
