date,open,high,low,close,volume,average,barCount
2025-03-27,280.25,280.75,275.94,277.71,-1.0,-1.0,-1
2025-03-28,276.5,277.21,269.23,269.92,-1.0,-1.0,-1
2025-03-31,265.27,268.46,259.14,268.3,-1.0,-1.0,-1
2025-04-01,268.29,270.78,265.81,270.24,-1.0,-1.0,-1
2025-04-02,266.57,273.69,265.86,271.5,-1.0,-1.0,-1
2025-04-03,260.02,262.53,254.44,255.17,-1.0,-1.0,-1
2025-04-04,246.25,250.19,239.58,240.68,-1.0,-1.0,-1
2025-04-07,231.35,252.78,230.25,244.27,-1.0,-1.0,-1
2025-04-08,255.37,257.22,240.44,244.15,-1.0,-1.0,-1
2025-04-09,241.31,267.97,241.3,265.1,-1.0,-1.0,-1
2025-04-10,261.0,261.25,248.21,255.0,-1.0,-1.0,-1
2025-04-11,253.58,256.34,247.65,254.83,-1.0,-1.0,-1
2025-04-14,259.39,259.63,253.14,254.52,-1.0,-1.0,-1
2025-04-15,253.96,256.76,253.84,254.86,-1.0,-1.0,-1
2025-04-16,251.25,256.61,246.74,249.78,-1.0,-1.0,-1
2025-04-17,249.16,251.53,246.82,247.03,-1.0,-1.0,-1
2025-04-21,241.72,242.42,232.8,236.16,-1.0,-1.0,-1
2025-04-22,239.05,244.19,235.64,243.33,-1.0,-1.0,-1
2025-04-23,251.86,257.69,249.51,250.36,-1.0,-1.0,-1
2025-04-24,259.49,264.98,256.9,264.53,-1.0,-1.0,-1
2025-04-25,264.86,269.04,264.2,267.94,-1.0,-1.0,-1
2025-04-28,268.57,269.44,263.42,265.59,-1.0,-1.0,-1
2025-04-29,264.4,268.58,264.18,267.67,-1.0,-1.0,-1
2025-04-30,264.64,268.85,263.07,268.08,-1.0,-1.0,-1
2025-05-01,273.01,274.54,268.98,269.19,-1.0,-1.0,-1
2025-05-02,274.5,276.31,272.29,274.94,-1.0,-1.0,-1
2025-05-05,273.81,276.17,272.36,272.47,-1.0,-1.0,-1
2025-05-06,269.82,274.68,268.72,273.23,-1.0,-1.0,-1
2025-05-07,274.35,278.69,273.84,278.13,-1.0,-1.0,-1
2025-05-08,280.51,283.05,278.39,279.8,-1.0,-1.0,-1
2025-05-09,281.39,282.4,273.88,275.41,-1.0,-1.0,-1
2025-05-12,284.29,288.95,283.64,288.86,-1.0,-1.0,-1
2025-05-13,291.91,292.73,288.94,289.12,-1.0,-1.0,-1
2025-05-14,292.65,296.01,289.33,290.67,-1.0,-1.0,-1
2025-05-15,289.02,291.97,288.03,290.76,-1.0,-1.0,-1
2025-05-16,291.65,292.15,289.71,291.12,-1.0,-1.0,-1
2025-05-19,288.1,289.9,286.92,287.51,-1.0,-1.0,-1
2025-05-20,287.59,288.27,285.23,287.98,-1.0,-1.0,-1
2025-05-21,285.2,287.57,281.16,282.21,-1.0,-1.0,-1
2025-05-22,282.14,286.31,281.1,283.25,-1.0,-1.0,-1
2025-05-23,279.33,280.71,271.68,273.13,-1.0,-1.0,-1
2025-05-27,273.17,278.58,270.32,277.24,-1.0,-1.0,-1
2025-05-28,277.8,278.77,273.59,276.37,-1.0,-1.0,-1
2025-05-29,263.96,267.79,254.76,267.0,-1.0,-1.0,-1
2025-05-30,267.54,269.66,260.77,265.32,-1.0,-1.0,-1
2025-06-02,263.28,263.8,259.19,261.5,-1.0,-1.0,-1
2025-06-03,262.19,264.67,261.38,264.49,-1.0,-1.0,-1
2025-06-04,264.88,265.5,261.64,263.17,-1.0,-1.0,-1
2025-06-05,263.71,268.73,263.58,266.97,-1.0,-1.0,-1
2025-06-06,269.97,274.91,268.14,274.63,-1.0,-1.0,-1
2025-06-09,273.13,274.21,269.67,272.26,-1.0,-1.0,-1
2025-06-10,272.24,273.74,266.85,268.3,-1.0,-1.0,-1
2025-06-11,268.54,269.53,265.41,266.0,-1.0,-1.0,-1
2025-06-12,265.35,269.03,263.44,266.83,-1.0,-1.0,-1
2025-06-13,263.27,265.56,258.0,258.49,-1.0,-1.0,-1
2025-06-16,260.34,263.97,259.8,263.75,-1.0,-1.0,-1
2025-06-17,263.46,270.48,262.11,262.63,-1.0,-1.0,-1
2025-06-18,264.08,265.03,257.5,259.48,-1.0,-1.0,-1
2025-06-20,260.23,262.88,259.29,260.6,-1.0,-1.0,-1
2025-06-23,260.05,264.73,258.89,263.35,-1.0,-1.0,-1
2025-06-24,265.72,273.36,265.44,271.31,-1.0,-1.0,-1
2025-06-25,272.4,273.87,267.04,267.87,-1.0,-1.0,-1
2025-06-26,268.73,271.01,265.18,270.75,-1.0,-1.0,-1
2025-06-27,272.43,274.14,269.48,273.25,-1.0,-1.0,-1
