date,open,high,low,close,volume,average,barCount
2025-03-27,100.53,101.03,99.58,100.42,-1.0,-1.0,-1
2025-03-28,100.28,100.37,97.74,98.03,-1.0,-1.0,-1
2025-03-31,96.84,98.85,95.72,98.69,-1.0,-1.0,-1
2025-04-01,98.34,98.59,96.84,97.66,-1.0,-1.0,-1
2025-04-02,96.52,98.31,96.45,97.83,-1.0,-1.0,-1
2025-04-03,94.36,94.85,88.6,88.81,-1.0,-1.0,-1
2025-04-04,86.13,87.52,83.09,83.52,-1.0,-1.0,-1
2025-04-07,81.2,86.61,80.15,83.28,-1.0,-1.0,-1
2025-04-08,85.95,86.95,80.85,81.75,-1.0,-1.0,-1
2025-04-09,81.44,92.24,81.19,91.4,-1.0,-1.0,-1
2025-04-10,88.47,89.01,83.1,85.19,-1.0,-1.0,-1
2025-04-11,85.3,85.6,83.37,84.86,-1.0,-1.0,-1
2025-04-14,85.83,86.42,84.03,84.71,-1.0,-1.0,-1
2025-04-15,84.97,85.98,84.56,84.99,-1.0,-1.0,-1
2025-04-16,84.13,84.59,82.01,82.78,-1.0,-1.0,-1
2025-04-17,83.44,85.78,83.15,84.78,-1.0,-1.0,-1
2025-04-21,84.72,85.21,82.98,83.97,-1.0,-1.0,-1
2025-04-22,85.02,86.56,84.8,86.08,-1.0,-1.0,-1
2025-04-23,89.03,89.86,87.02,87.28,-1.0,-1.0,-1
2025-04-24,87.74,90.23,86.79,90.0,-1.0,-1.0,-1
2025-04-25,90.09,90.33,89.09,90.25,-1.0,-1.0,-1
2025-04-28,90.52,91.37,89.64,90.15,-1.0,-1.0,-1
2025-04-29,89.78,91.66,89.68,91.16,-1.0,-1.0,-1
2025-04-30,89.87,91.19,88.57,90.9,-1.0,-1.0,-1
2025-05-01,91.25,91.61,90.37,90.78,-1.0,-1.0,-1
2025-05-02,91.72,93.19,91.63,92.5,-1.0,-1.0,-1
2025-05-05,89.59,93.08,89.57,92.18,-1.0,-1.0,-1
2025-05-06,91.41,92.74,91.11,92.08,-1.0,-1.0,-1
2025-05-07,102.45,103.29,100.14,102.02,-1.0,-1.0,-1
2025-05-08,103.59,106.19,103.47,105.24,-1.0,-1.0,-1
2025-05-09,105.17,106.18,104.78,105.91,-1.0,-1.0,-1
2025-05-12,109.44,110.94,108.68,110.53,-1.0,-1.0,-1
2025-05-13,110.25,112.19,110.09,111.31,-1.0,-1.0,-1
2025-05-14,111.06,113.41,110.83,112.94,-1.0,-1.0,-1
2025-05-15,112.39,112.83,111.59,112.22,-1.0,-1.0,-1
2025-05-16,111.92,113.43,111.44,113.4,-1.0,-1.0,-1
2025-05-19,111.9,112.99,111.9,112.67,-1.0,-1.0,-1
2025-05-20,112.3,113.39,111.81,112.34,-1.0,-1.0,-1
2025-05-21,111.63,112.49,110.12,110.41,-1.0,-1.0,-1
2025-05-22,109.97,111.8,109.97,111.12,-1.0,-1.0,-1
2025-05-23,109.53,110.35,108.81,109.7,-1.0,-1.0,-1
2025-05-27,111.06,112.9,110.12,112.38,-1.0,-1.0,-1
2025-05-28,112.18,112.47,111.16,111.56,-1.0,-1.0,-1
2025-05-29,112.01,112.25,110.53,112.0,-1.0,-1.0,-1
2025-05-30,112.0,113.35,111.37,113.0,-1.0,-1.0,-1
2025-06-02,112.38,113.57,112.24,112.97,-1.0,-1.0,-1
2025-06-03,112.72,114.69,112.51,113.62,-1.0,-1.0,-1
2025-06-04,113.72,114.04,112.97,113.5,-1.0,-1.0,-1
2025-06-05,113.61,114.34,111.84,112.52,-1.0,-1.0,-1
2025-06-06,113.36,114.21,113.35,113.9,-1.0,-1.0,-1
2025-06-09,113.95,116.11,113.95,115.66,-1.0,-1.0,-1
2025-06-10,115.53,120.49,115.52,118.75,-1.0,-1.0,-1
2025-06-11,118.81,119.55,117.69,119.49,-1.0,-1.0,-1
2025-06-12,118.87,119.39,117.66,118.59,-1.0,-1.0,-1
2025-06-13,117.31,118.32,117.3,117.95,-1.0,-1.0,-1
2025-06-16,118.29,120.35,117.85,119.5,-1.0,-1.0,-1
2025-06-17,118.75,119.33,117.64,118.12,-1.0,-1.0,-1
2025-06-18,117.88,118.75,116.84,117.83,-1.0,-1.0,-1
2025-06-20,118.41,119.02,116.91,117.59,-1.0,-1.0,-1
2025-06-23,116.67,117.99,115.04,117.78,-1.0,-1.0,-1
2025-06-24,118.05,119.08,118.04,118.68,-1.0,-1.0,-1
