date,open,high,low,close,volume,average,barCount
2025-03-31,153.06,155.55,150.65,154.55,-1.0,-1.0,-1
2025-04-01,153.69,158.11,153.68,157.04,-1.0,-1.0,-1
2025-04-02,155.12,158.41,154.71,156.92,-1.0,-1.0,-1
2025-04-03,151.11,152.78,150.4,150.72,-1.0,-1.0,-1
2025-04-04,148.18,151.07,145.39,145.53,-1.0,-1.0,-1
2025-04-07,141.68,152.86,140.59,146.81,-1.0,-1.0,-1
2025-04-08,151.19,152.24,143.03,144.69,-1.0,-1.0,-1
2025-04-09,144.38,159.55,143.9,158.67,-1.0,-1.0,-1
2025-04-10,156.54,157.71,149.93,152.82,-1.0,-1.0,-1
2025-04-11,152.93,157.68,152.89,156.99,-1.0,-1.0,-1
2025-04-14,159.95,161.72,157.56,159.11,-1.0,-1.0,-1
2025-04-15,159.13,159.64,155.21,156.31,-1.0,-1.0,-1
2025-04-16,153.0,155.89,151.51,153.34,-1.0,-1.0,-1
2025-04-17,154.27,154.67,148.52,151.18,-1.0,-1.0,-1
2025-04-21,148.8,148.96,146.1,147.65,-1.0,-1.0,-1
2025-04-22,148.8,152.2,148.55,151.45,-1.0,-1.0,-1
2025-04-23,155.59,157.53,153.8,155.26,-1.0,-1.0,-1
2025-04-24,156.15,159.6,155.81,159.04,-1.0,-1.0,-1
2025-04-25,165.09,166.1,161.03,161.86,-1.0,-1.0,-1
2025-04-28,162.4,163.13,158.6,160.61,-1.0,-1.0,-1
2025-04-29,160.31,160.74,157.52,160.14,-1.0,-1.0,-1
2025-04-30,157.98,159.27,155.41,158.77,-1.0,-1.0,-1
2025-05-01,160.44,161.96,158.92,161.25,-1.0,-1.0,-1
2025-05-02,163.35,164.98,161.86,164.0,-1.0,-1.0,-1
2025-05-05,163.01,165.39,162.75,164.31,-1.0,-1.0,-1
2025-05-06,162.16,164.8,161.21,163.23,-1.0,-1.0,-1
2025-05-07,164.12,165.0,147.85,151.32,-1.0,-1.0,-1
2025-05-08,154.66,155.94,152.91,154.31,-1.0,-1.0,-1
2025-05-09,154.19,155.04,152.19,152.76,-1.0,-1.0,-1
2025-05-12,157.45,159.1,156.25,158.47,-1.0,-1.0,-1
2025-05-13,158.76,160.57,156.16,159.43,-1.0,-1.0,-1
2025-05-14,159.89,167.0,159.61,165.37,-1.0,-1.0,-1
2025-05-15,165.8,166.24,162.37,163.95,-1.0,-1.0,-1
2025-05-16,167.73,169.34,165.63,166.16,-1.0,-1.0,-1
2025-05-19,164.56,166.64,164.21,166.51,-1.0,-1.0,-1
2025-05-20,166.48,168.5,162.9,164.0,-1.0,-1.0,-1
2025-05-21,163.67,173.15,163.56,168.56,-1.0,-1.0,-1
2025-05-22,171.86,176.78,170.71,170.85,-1.0,-1.0,-1
2025-05-23,169.05,169.96,167.89,168.48,-1.0,-1.0,-1
2025-05-27,170.16,173.17,170.14,172.89,-1.0,-1.0,-1
2025-05-28,172.97,175.27,171.91,172.34,-1.0,-1.0,-1
2025-05-29,174.01,174.41,170.63,171.86,-1.0,-1.0,-1
2025-05-30,171.26,172.21,167.43,171.62,-1.0,-1.0,-1
2025-06-02,167.84,169.88,167.39,169.0,-1.0,-1.0,-1
2025-06-03,167.47,168.48,165.28,166.18,-1.0,-1.0,-1
2025-06-04,166.75,168.22,166.35,168.06,-1.0,-1.0,-1
2025-06-05,170.38,170.95,167.7,168.23,-1.0,-1.0,-1
2025-06-06,170.82,174.51,170.82,173.65,-1.0,-1.0,-1
2025-06-09,174.59,176.48,174.38,176.04,-1.0,-1.0,-1
2025-06-10,176.22,181.11,174.91,178.63,-1.0,-1.0,-1
2025-06-11,179.78,180.37,176.74,177.4,-1.0,-1.0,-1
2025-06-12,175.88,176.73,174.72,175.72,-1.0,-1.0,-1
2025-06-13,172.4,177.14,172.37,174.69,-1.0,-1.0,-1
2025-06-16,174.72,176.94,174.67,176.76,-1.0,-1.0,-1
2025-06-17,175.7,177.38,174.57,175.94,-1.0,-1.0,-1
2025-06-18,175.99,176.57,173.2,173.3,-1.0,-1.0,-1
2025-06-20,173.95,174.36,165.46,166.7,-1.0,-1.0,-1
2025-06-23,166.2,167.34,162.08,165.15,-1.0,-1.0,-1
2025-06-24,166.9,168.22,166.13,166.77,-1.0,-1.0,-1
2025-06-25,167.62,172.37,167.57,170.69,-1.0,-1.0,-1
2025-06-26,172.44,173.69,169.93,173.52,-1.0,-1.0,-1
2025-06-27,173.61,178.68,171.73,178.52,-1.0,-1.0,-1
2025-06-30,180.84,181.22,174.6,176.22,-1.0,-1.0,-1
2025-07-01,175.74,176.09,173.53,175.87,-1.0,-1.0,-1
2025-07-02,175.52,178.87,175.07,178.63,-1.0,-1.0,-1
2025-07-03,178.72,179.68,177.04,179.44,-1.0,-1.0,-1
2025-07-07,179.06,179.29,175.68,176.79,-1.0,-1.0,-1
2025-07-08,177.91,177.94,172.81,174.34,-1.0,-1.0,-1
2025-07-09,175.19,179.43,172.78,176.62,-1.0,-1.0,-1
2025-07-10,175.68,178.43,174.64,177.63,-1.0,-1.0,-1
2025-07-11,176.78,181.43,176.46,180.16,-1.0,-1.0,-1
2025-07-14,180.95,183.66,179.67,181.6,-1.0,-1.0,-1
2025-07-15,182.77,184.23,181.59,181.97,-1.0,-1.0,-1
2025-07-16,183.23,184.33,182.02,182.91,-1.0,-1.0,-1
2025-07-17,182.16,184.06,180.48,183.63,-1.0,-1.0,-1
2025-07-18,185.7,186.42,183.7,185.05,-1.0,-1.0,-1
2025-07-21,186.25,190.29,186.17,190.17,-1.0,-1.0,-1
2025-07-22,191.47,191.65,187.46,191.33,-1.0,-1.0,-1
2025-07-23,191.48,192.52,189.18,190.36,-1.0,-1.0,-1
2025-07-24,197.09,197.95,191.0,192.21,-1.0,-1.0,-1
2025-07-25,191.98,194.34,191.27,193.18,-1.0,-1.0,-1
2025-07-28,193.67,194.03,190.85,192.55,-1.0,-1.0,-1
2025-07-29,192.44,195.92,192.07,195.75,-1.0,-1.0,-1
2025-07-30,195.62,197.6,194.67,196.63,-1.0,-1.0,-1
2025-07-31,195.67,195.99,191.09,191.93,-1.0,-1.0,-1
2025-08-01,189.06,190.82,187.81,189.09,-1.0,-1.0,-1
2025-08-04,190.4,195.28,190.13,195.04,-1.0,-1.0,-1
2025-08-05,194.69,197.85,193.88,194.65,-1.0,-1.0,-1
2025-08-06,194.44,196.63,193.66,196.09,-1.0,-1.0,-1
2025-08-07,196.78,197.55,194.33,196.56,-1.0,-1.0,-1
2025-08-08,197.22,202.61,197.2,201.44,-1.0,-1.0,-1
2025-08-11,200.9,201.48,199.07,201.03,-1.0,-1.0,-1
2025-08-12,201.37,204.51,200.59,203.35,-1.0,-1.0,-1
2025-08-13,204.06,204.54,197.51,201.91,-1.0,-1.0,-1
2025-08-14,201.44,204.45,201.22,202.86,-1.0,-1.0,-1
2025-08-15,203.85,206.45,201.27,203.9,-1.0,-1.0,-1
2025-08-18,204.15,205.28,202.49,203.43,-1.0,-1.0,-1
2025-08-19,203.03,203.45,199.96,201.61,-1.0,-1.0,-1
2025-08-20,200.76,201.28,196.59,199.3,-1.0,-1.0,-1
2025-08-21,199.81,202.48,199.43,199.74,-1.0,-1.0,-1
2025-08-22,202.98,208.54,201.28,206.12,-1.0,-1.0,-1
2025-08-25,206.42,210.52,205.28,208.51,-1.0,-1.0,-1
2025-08-26,207.53,207.83,205.7,207.18,-1.0,-1.0,-1
2025-08-27,205.63,208.92,205.62,207.42,-1.0,-1.0,-1
2025-08-28,207.14,212.19,206.9,211.65,-1.0,-1.0,-1
2025-08-29,210.56,214.65,210.21,213.02,-1.0,-1.0,-1
2025-09-02,208.36,211.68,206.19,211.34,-1.0,-1.0,-1
2025-09-03,226.25,231.27,224.81,230.64,-1.0,-1.0,-1
2025-09-04,229.75,232.37,226.11,232.3,-1.0,-1.0,-1
2025-09-05,232.26,235.77,231.88,235.06,-1.0,-1.0,-1
2025-09-08,235.55,238.13,233.67,234.1,-1.0,-1.0,-1
2025-09-09,234.16,240.48,233.22,239.63,-1.0,-1.0,-1
2025-09-10,238.99,241.67,237.85,239.12,-1.0,-1.0,-1
2025-09-11,239.8,242.25,236.26,240.36,-1.0,-1.0,-1
2025-09-12,240.35,242.08,238.0,240.75,-1.0,-1.0,-1
2025-09-15,244.81,252.41,244.71,251.6,-1.0,-1.0,-1
2025-09-16,252.04,253.04,249.48,251.19,-1.0,-1.0,-1
2025-09-17,251.19,251.6,246.27,249.53,-1.0,-1.0,-1
2025-09-18,251.63,253.99,249.79,252.08,-1.0,-1.0,-1
2025-09-19,253.35,256.0,251.82,254.63,-1.0,-1.0,-1
2025-09-22,254.28,255.78,250.32,252.55,-1.0,-1.0,-1
2025-09-23,253.24,254.33,250.48,251.7,-1.0,-1.0,-1
2025-09-24,251.61,252.35,246.43,247.09,-1.0,-1.0,-1
2025-09-25,244.05,246.49,240.73,245.78,-1.0,-1.0,-1
2025-09-26,247.17,249.43,245.96,246.55,-1.0,-1.0,-1
2025-09-29,247.74,251.14,242.76,244.04,-1.0,-1.0,-1
2025-09-30,242.9,243.28,239.24,243.07,-1.0,-1.0,-1
2025-10-01,240.74,246.31,238.64,244.86,-1.0,-1.0,-1
2025-10-02,245.11,246.82,242.27,245.71,-1.0,-1.0,-1
2025-10-03,244.52,246.3,241.65,245.45,-1.0,-1.0,-1
2025-10-06,244.78,251.33,244.5,250.44,-1.0,-1.0,-1
2025-10-07,247.86,250.45,245.51,245.81,-1.0,-1.0,-1
2025-10-08,244.92,246.01,243.82,244.59,-1.0,-1.0,-1
2025-10-09,244.33,244.73,239.15,241.53,-1.0,-1.0,-1
2025-10-10,241.51,244.1,235.84,236.61,-1.0,-1.0,-1
2025-10-13,240.13,244.4,239.81,244.13,-1.0,-1.0,-1
2025-10-14,241.5,247.11,240.51,245.43,-1.0,-1.0,-1
2025-10-15,247.24,252.13,245.97,251.08,-1.0,-1.0,-1
2025-10-16,251.76,256.95,250.11,251.4,-1.0,-1.0,-1
2025-10-17,250.96,254.22,247.9,253.31,-1.0,-1.0,-1
2025-10-20,254.71,257.33,254.25,256.59,-1.0,-1.0,-1
2025-10-21,254.71,254.83,244.17,250.43,-1.0,-1.0,-1
2025-10-22,254.29,256.36,249.29,251.68,-1.0,-1.0,-1
2025-10-23,252.9,255.05,251.83,253.05,-1.0,-1.0,-1
2025-10-24,256.39,261.7,255.31,259.94,-1.0,-1.0,-1
2025-10-27,264.84,270.05,264.27,269.27,-1.0,-1.0,-1
2025-10-28,269.39,270.7,266.5,267.48,-1.0,-1.0,-1
