date,open,high,low,close,volume,average,barCount
2025-03-27,362.17,365.09,361.18,362.6,-1.0,-1.0,-1
2025-03-28,362.59,363.21,356.18,357.93,-1.0,-1.0,-1
2025-03-31,353.68,368.68,353.07,366.47,-1.0,-1.0,-1
2025-04-01,365.24,367.26,361.99,365.48,-1.0,-1.0,-1
2025-04-02,362.9,372.25,362.8,370.88,-1.0,-1.0,-1
2025-04-03,354.9,360.02,351.7,355.78,-1.0,-1.0,-1
2025-04-04,350.22,365.28,349.25,353.95,-1.0,-1.0,-1
2025-04-07,344.83,353.94,333.58,341.36,-1.0,-1.0,-1
2025-04-08,351.39,353.84,329.87,335.11,-1.0,-1.0,-1
2025-04-09,328.81,356.02,326.34,355.01,-1.0,-1.0,-1
2025-04-10,351.0,355.27,339.82,353.26,-1.0,-1.0,-1
2025-04-11,351.65,354.5,344.28,353.69,-1.0,-1.0,-1
2025-04-14,357.99,359.0,353.59,357.29,-1.0,-1.0,-1
2025-04-15,359.31,361.45,353.34,353.89,-1.0,-1.0,-1
2025-04-16,353.02,353.92,344.31,345.91,-1.0,-1.0,-1
2025-04-17,346.66,357.44,346.66,355.11,-1.0,-1.0,-1
2025-04-21,355.25,355.97,341.77,346.86,-1.0,-1.0,-1
2025-04-22,350.0,356.25,350.0,354.28,-1.0,-1.0,-1
2025-04-23,361.5,364.84,354.79,356.23,-1.0,-1.0,-1
2025-04-24,357.5,360.39,354.62,359.58,-1.0,-1.0,-1
2025-04-25,357.35,359.07,354.64,357.5,-1.0,-1.0,-1
2025-04-28,357.35,360.06,354.53,356.81,-1.0,-1.0,-1
2025-04-29,356.56,360.59,354.89,358.87,-1.0,-1.0,-1
2025-04-30,356.11,361.24,352.38,360.11,-1.0,-1.0,-1
2025-05-01,360.29,362.83,357.74,358.17,-1.0,-1.0,-1
2025-05-02,361.53,366.19,361.38,364.39,-1.0,-1.0,-1
2025-05-05,362.25,364.23,359.69,361.86,-1.0,-1.0,-1
2025-05-06,358.92,362.13,357.16,359.34,-1.0,-1.0,-1
2025-05-07,360.9,363.78,360.13,362.63,-1.0,-1.0,-1
2025-05-08,363.68,369.3,362.25,364.75,-1.0,-1.0,-1
2025-05-09,363.36,365.44,361.35,362.59,-1.0,-1.0,-1
2025-05-12,374.08,378.57,373.51,376.59,-1.0,-1.0,-1
2025-05-13,381.02,381.03,373.0,373.51,-1.0,-1.0,-1
2025-05-14,372.8,375.79,370.91,372.63,-1.0,-1.0,-1
2025-05-15,371.28,379.29,371.27,378.86,-1.0,-1.0,-1
2025-05-16,378.71,381.14,378.16,380.68,-1.0,-1.0,-1
2025-05-19,375.23,381.18,374.17,379.13,-1.0,-1.0,-1
2025-05-20,384.5,389.18,374.1,377.14,-1.0,-1.0,-1
2025-05-21,377.38,378.33,368.58,370.81,-1.0,-1.0,-1
2025-05-22,367.67,369.23,364.63,366.19,-1.0,-1.0,-1
2025-05-23,361.92,364.62,361.28,362.76,-1.0,-1.0,-1
2025-05-27,364.75,370.54,364.74,370.26,-1.0,-1.0,-1
2025-05-28,368.94,371.12,367.48,368.09,-1.0,-1.0,-1
2025-05-29,369.93,370.4,364.14,368.25,-1.0,-1.0,-1
2025-05-30,366.61,369.61,365.21,367.98,-1.0,-1.0,-1
2025-06-02,366.2,368.05,361.81,368.05,-1.0,-1.0,-1
2025-06-03,367.94,373.55,367.26,373.28,-1.0,-1.0,-1
2025-06-04,373.2,375.35,371.58,372.45,-1.0,-1.0,-1
2025-06-05,370.97,371.59,367.54,369.28,-1.0,-1.0,-1
2025-06-06,372.38,372.63,365.93,367.26,-1.0,-1.0,-1
2025-06-09,367.17,367.21,364.43,365.12,-1.0,-1.0,-1
2025-06-10,365.54,368.48,362.65,368.15,-1.0,-1.0,-1
2025-06-11,368.22,369.24,359.3,360.42,-1.0,-1.0,-1
2025-06-12,360.78,365.04,358.63,363.11,-1.0,-1.0,-1
2025-06-13,359.87,362.72,352.83,354.63,-1.0,-1.0,-1
2025-06-16,355.8,357.11,351.9,353.59,-1.0,-1.0,-1
2025-06-17,352.08,354.25,347.47,348.69,-1.0,-1.0,-1
2025-06-18,350.45,350.57,345.84,347.0,-1.0,-1.0,-1
2025-06-20,347.49,351.16,347.01,349.85,-1.0,-1.0,-1
2025-06-23,349.47,357.03,348.69,356.86,-1.0,-1.0,-1
2025-06-24,357.69,361.73,355.75,360.4,-1.0,-1.0,-1
2025-06-25,359.71,363.53,358.31,362.08,-1.0,-1.0,-1
2025-06-26,362.98,365.13,360.6,363.59,-1.0,-1.0,-1
2025-06-27,363.96,370.11,363.3,368.42,-1.0,-1.0,-1
2025-06-30,368.77,370.57,364.71,366.6,-1.0,-1.0,-1
2025-07-01,364.66,379.66,363.04,373.31,-1.0,-1.0,-1
2025-07-02,373.93,373.93,369.36,371.9,-1.0,-1.0,-1
2025-07-03,372.6,373.19,368.3,371.84,-1.0,-1.0,-1
2025-07-07,370.94,372.77,364.75,367.5,-1.0,-1.0,-1
2025-07-08,366.97,370.38,365.46,367.51,-1.0,-1.0,-1
2025-07-09,368.52,371.05,364.85,371.04,-1.0,-1.0,-1
2025-07-10,369.88,377.96,368.67,373.44,-1.0,-1.0,-1
2025-07-11,371.8,371.8,367.11,369.94,-1.0,-1.0,-1
2025-07-14,370.38,371.29,366.47,370.06,-1.0,-1.0,-1
2025-07-15,370.28,370.66,358.55,358.62,-1.0,-1.0,-1
2025-07-16,359.86,360.73,352.46,357.41,-1.0,-1.0,-1
2025-07-17,356.35,360.29,354.65,359.21,-1.0,-1.0,-1
2025-07-18,359.98,360.42,356.94,359.35,-1.0,-1.0,-1
2025-07-21,359.63,365.73,359.63,364.13,-1.0,-1.0,-1
2025-07-22,364.57,372.21,364.05,370.91,-1.0,-1.0,-1
2025-07-23,371.7,377.87,371.69,376.49,-1.0,-1.0,-1
2025-07-24,375.78,377.91,372.29,373.11,-1.0,-1.0,-1
2025-07-25,374.25,375.73,373.05,375.47,-1.0,-1.0,-1
2025-07-28,374.25,381.07,373.0,377.23,-1.0,-1.0,-1
2025-07-29,377.9,379.65,374.74,377.36,-1.0,-1.0,-1
2025-07-30,377.7,378.71,369.68,372.3,-1.0,-1.0,-1
2025-07-31,369.05,372.81,366.81,367.6,-1.0,-1.0,-1
2025-08-01,366.95,374.7,365.71,373.45,-1.0,-1.0,-1
2025-08-04,374.08,381.91,373.84,380.98,-1.0,-1.0,-1
2025-08-05,381.0,386.9,381.0,385.3,-1.0,-1.0,-1
2025-08-06,386.25,388.91,384.61,386.87,-1.0,-1.0,-1
2025-08-07,388.62,391.25,383.35,386.03,-1.0,-1.0,-1
2025-08-08,386.14,389.27,386.14,387.71,-1.0,-1.0,-1
2025-08-11,389.38,391.46,383.29,387.99,-1.0,-1.0,-1
