date,open,high,low,close,volume,average,barCount
2025-03-27,162.13,164.07,161.83,163.12,-1.0,-1.0,-1
2025-03-28,163.3,164.52,162.91,163.69,-1.0,-1.0,-1
2025-03-31,164.11,166.63,163.9,165.88,-1.0,-1.0,-1
2025-04-01,160.71,161.84,153.13,153.25,-1.0,-1.0,-1
2025-04-02,154.01,155.8,153.52,155.34,-1.0,-1.0,-1
2025-04-03,158.79,160.65,157.45,159.85,-1.0,-1.0,-1
2025-04-04,159.16,159.78,152.92,153.22,-1.0,-1.0,-1
2025-04-07,151.16,152.7,147.42,150.56,-1.0,-1.0,-1
2025-04-08,153.34,153.94,148.0,150.0,-1.0,-1.0,-1
2025-04-09,142.21,153.16,141.87,150.86,-1.0,-1.0,-1
2025-04-10,150.68,151.1,145.14,148.63,-1.0,-1.0,-1
2025-04-11,148.99,152.36,148.22,151.63,-1.0,-1.0,-1
2025-04-14,151.91,154.68,151.18,154.43,-1.0,-1.0,-1
2025-04-15,156.35,156.41,152.12,153.64,-1.0,-1.0,-1
2025-04-16,155.17,155.6,152.24,153.88,-1.0,-1.0,-1
2025-04-17,154.05,159.44,154.04,157.44,-1.0,-1.0,-1
2025-04-21,157.27,158.23,155.49,156.9,-1.0,-1.0,-1
2025-04-22,157.04,158.71,156.27,157.68,-1.0,-1.0,-1
2025-04-23,156.75,157.1,154.33,155.3,-1.0,-1.0,-1
2025-04-24,155.5,155.9,153.44,154.9,-1.0,-1.0,-1
2025-04-25,154.32,154.78,152.45,154.54,-1.0,-1.0,-1
2025-04-28,155.03,155.78,153.83,155.33,-1.0,-1.0,-1
2025-04-29,155.09,157.01,154.3,155.86,-1.0,-1.0,-1
2025-04-30,157.09,158.11,155.02,156.23,-1.0,-1.0,-1
2025-05-01,155.2,155.2,153.36,154.42,-1.0,-1.0,-1
2025-05-02,155.68,156.71,155.05,156.06,-1.0,-1.0,-1
2025-05-05,156.59,156.87,154.72,155.15,-1.0,-1.0,-1
2025-05-06,154.61,155.89,153.68,154.44,-1.0,-1.0,-1
2025-05-07,154.88,157.94,154.52,157.25,-1.0,-1.0,-1
2025-05-08,155.75,157.04,154.77,155.63,-1.0,-1.0,-1
2025-05-09,155.82,156.06,153.81,154.19,-1.0,-1.0,-1
2025-05-12,152.18,155.36,151.24,154.15,-1.0,-1.0,-1
2025-05-13,151.54,151.76,148.09,148.43,-1.0,-1.0,-1
2025-05-14,148.66,148.8,146.11,146.31,-1.0,-1.0,-1
2025-05-15,147.79,149.65,147.65,149.62,-1.0,-1.0,-1
2025-05-16,149.5,151.5,149.22,151.31,-1.0,-1.0,-1
2025-05-19,151.69,152.67,151.05,152.51,-1.0,-1.0,-1
2025-05-20,152.25,154.04,152.19,153.63,-1.0,-1.0,-1
2025-05-21,153.11,154.43,152.94,153.06,-1.0,-1.0,-1
2025-05-22,152.64,153.32,151.36,152.56,-1.0,-1.0,-1
2025-05-23,152.54,153.44,152.21,152.99,-1.0,-1.0,-1
2025-05-27,152.32,154.05,152.21,153.29,-1.0,-1.0,-1
2025-05-28,153.32,153.64,151.92,152.46,-1.0,-1.0,-1
2025-05-29,151.7,154.06,151.5,153.57,-1.0,-1.0,-1
2025-05-30,153.65,155.7,153.22,154.94,-1.0,-1.0,-1
2025-06-02,154.75,155.54,152.31,155.44,-1.0,-1.0,-1
2025-06-03,154.75,155.66,154.09,154.37,-1.0,-1.0,-1
2025-06-04,154.81,154.88,153.13,153.24,-1.0,-1.0,-1
2025-06-05,153.54,154.1,152.65,153.65,-1.0,-1.0,-1
2025-06-06,154.03,156.04,154.03,155.0,-1.0,-1.0,-1
2025-06-09,154.97,156.0,154.45,155.21,-1.0,-1.0,-1
2025-06-10,155.56,157.45,155.02,156.5,-1.0,-1.0,-1
2025-06-11,156.6,156.61,154.74,155.25,-1.0,-1.0,-1
2025-06-12,155.86,156.68,155.17,156.66,-1.0,-1.0,-1
2025-06-13,155.97,157.67,155.93,157.08,-1.0,-1.0,-1
2025-06-16,156.53,156.53,154.45,155.25,-1.0,-1.0,-1
2025-06-17,154.94,155.31,152.1,152.34,-1.0,-1.0,-1
2025-06-18,152.69,152.83,150.71,150.81,-1.0,-1.0,-1
2025-06-20,151.29,151.58,149.03,149.75,-1.0,-1.0,-1
2025-06-23,149.81,151.42,149.75,151.3,-1.0,-1.0,-1
2025-06-24,151.42,152.72,150.98,152.19,-1.0,-1.0,-1
2025-06-25,151.89,153.07,150.76,152.32,-1.0,-1.0,-1
2025-06-26,152.55,153.21,151.53,152.06,-1.0,-1.0,-1
2025-06-27,152.25,153.32,151.1,152.38,-1.0,-1.0,-1
2025-06-30,151.99,152.86,151.52,152.67,-1.0,-1.0,-1
2025-07-01,152.8,157.73,152.8,155.9,-1.0,-1.0,-1
2025-07-02,156.28,156.29,155.07,155.56,-1.0,-1.0,-1
2025-07-03,155.55,156.29,154.92,155.93,-1.0,-1.0,-1
