date,open,high,low,close,volume,average,barCount
2025-03-27,249.55,250.62,247.26,248.16,-1.0,-1.0,-1
2025-03-28,247.07,249.51,241.12,242.84,-1.0,-1.0,-1
2025-03-31,239.22,245.87,237.44,245.27,-1.0,-1.0,-1
2025-04-01,242.4,245.68,240.89,243.63,-1.0,-1.0,-1
2025-04-02,241.93,247.25,241.56,245.8,-1.0,-1.0,-1
2025-04-03,235.1,235.1,227.35,228.69,-1.0,-1.0,-1
2025-04-04,215.11,217.64,208.96,210.27,-1.0,-1.0,-1
2025-04-07,204.8,221.89,202.25,214.37,-1.0,-1.0,-1
2025-04-08,224.08,227.81,213.33,216.91,-1.0,-1.0,-1
2025-04-09,213.45,237.39,211.01,234.28,-1.0,-1.0,-1
2025-04-10,229.74,230.33,220.13,226.91,-1.0,-1.0,-1
2025-04-11,224.76,238.53,224.75,236.14,-1.0,-1.0,-1
2025-04-14,238.25,239.58,233.69,234.65,-1.0,-1.0,-1
2025-04-15,235.46,238.65,232.86,233.09,-1.0,-1.0,-1
2025-04-16,232.25,233.55,227.94,229.67,-1.0,-1.0,-1
2025-04-17,230.52,234.32,230.52,231.96,-1.0,-1.0,-1
2025-04-21,230.0,231.71,226.37,228.89,-1.0,-1.0,-1
2025-04-22,231.86,235.98,231.39,235.54,-1.0,-1.0,-1
2025-04-23,240.85,246.8,240.25,240.8,-1.0,-1.0,-1
2025-04-24,240.22,245.47,237.56,244.69,-1.0,-1.0,-1
2025-04-25,243.55,245.58,241.78,243.41,-1.0,-1.0,-1
2025-04-28,244.37,246.77,240.87,243.15,-1.0,-1.0,-1
2025-04-29,242.29,245.25,241.74,244.67,-1.0,-1.0,-1
2025-04-30,241.84,245.22,238.49,244.34,-1.0,-1.0,-1
2025-05-01,242.45,248.43,242.24,246.81,-1.0,-1.0,-1
2025-05-02,251.26,253.59,249.52,252.44,-1.0,-1.0,-1
2025-05-05,251.18,255.15,250.67,252.69,-1.0,-1.0,-1
2025-05-06,250.21,252.61,249.02,249.17,-1.0,-1.0,-1
2025-05-07,250.2,252.45,248.85,249.34,-1.0,-1.0,-1
2025-05-08,251.7,255.88,251.58,253.71,-1.0,-1.0,-1
2025-05-09,254.38,255.49,252.38,252.96,-1.0,-1.0,-1
2025-05-12,262.35,263.56,258.68,260.06,-1.0,-1.0,-1
2025-05-13,260.91,263.66,260.47,262.89,-1.0,-1.0,-1
2025-05-14,262.5,266.65,262.29,265.63,-1.0,-1.0,-1
2025-05-15,267.0,269.54,264.8,267.76,-1.0,-1.0,-1
2025-05-16,267.12,268.45,264.73,267.56,-1.0,-1.0,-1
2025-05-19,265.08,268.31,261.94,264.93,-1.0,-1.0,-1
2025-05-20,262.93,266.67,262.46,265.84,-1.0,-1.0,-1
2025-05-21,263.82,265.64,260.75,261.0,-1.0,-1.0,-1
2025-05-22,259.36,262.3,259.22,260.61,-1.0,-1.0,-1
2025-05-23,256.6,261.99,256.23,260.76,-1.0,-1.0,-1
2025-05-27,262.54,265.28,261.98,265.26,-1.0,-1.0,-1
2025-05-28,265.69,266.67,262.92,263.51,-1.0,-1.0,-1
2025-05-29,264.42,265.35,262.57,264.31,-1.0,-1.0,-1
2025-05-30,263.89,265.33,262.72,263.88,-1.0,-1.0,-1
2025-06-02,262.73,265.02,261.92,264.83,-1.0,-1.0,-1
2025-06-03,263.19,266.58,262.79,266.31,-1.0,-1.0,-1
2025-06-04,265.63,267.08,264.21,264.24,-1.0,-1.0,-1
2025-06-05,264.23,264.67,260.34,261.95,-1.0,-1.0,-1
2025-06-06,264.44,266.65,264.09,265.69,-1.0,-1.0,-1
2025-06-09,266.44,267.9,263.41,266.69,-1.0,-1.0,-1
2025-06-10,266.15,268.9,265.78,268.69,-1.0,-1.0,-1
