date,open,high,low,close,volume,average,barCount
2025-03-27,549.11,561.78,548.06,557.4,-1.0,-1.0,-1
2025-03-28,555.12,558.17,540.21,540.77,-1.0,-1.0,-1
2025-03-31,534.42,551.23,531.48,548.07,-1.0,-1.0,-1
2025-04-01,546.31,551.05,544.09,548.31,-1.0,-1.0,-1
2025-04-02,541.84,549.54,541.33,547.28,-1.0,-1.0,-1
2025-04-03,527.85,540.07,527.55,530.45,-1.0,-1.0,-1
2025-04-04,517.64,520.81,488.41,490.0,-1.0,-1.0,-1
2025-04-07,477.95,502.31,466.5,485.74,-1.0,-1.0,-1
2025-04-08,499.46,505.42,471.64,480.25,-1.0,-1.0,-1
2025-04-09,475.38,518.28,470.11,514.63,-1.0,-1.0,-1
2025-04-10,507.46,508.55,484.63,498.94,-1.0,-1.0,-1
2025-04-11,498.5,515.94,495.74,509.61,-1.0,-1.0,-1
2025-04-14,517.33,523.22,508.73,512.38,-1.0,-1.0,-1
2025-04-15,512.01,521.23,512.01,517.54,-1.0,-1.0,-1
2025-04-16,516.5,521.5,509.82,513.35,-1.0,-1.0,-1
2025-04-17,513.0,523.87,509.13,517.57,-1.0,-1.0,-1
2025-04-21,515.47,517.48,503.58,509.2,-1.0,-1.0,-1
2025-04-22,515.07,528.67,513.21,527.49,-1.0,-1.0,-1
2025-04-23,538.15,543.73,527.74,529.53,-1.0,-1.0,-1
2025-04-24,529.78,535.9,525.34,535.25,-1.0,-1.0,-1
2025-04-25,533.34,536.21,529.51,533.01,-1.0,-1.0,-1
2025-04-28,536.33,537.66,530.59,534.62,-1.0,-1.0,-1
2025-04-29,534.17,540.54,533.67,539.84,-1.0,-1.0,-1
2025-04-30,538.53,548.97,529.55,546.33,-1.0,-1.0,-1
2025-05-01,553.0,553.0,539.71,546.06,-1.0,-1.0,-1
2025-05-02,554.99,562.29,554.98,559.17,-1.0,-1.0,-1
2025-05-05,557.45,564.29,555.92,560.88,-1.0,-1.0,-1
2025-05-06,555.4,565.77,555.4,558.95,-1.0,-1.0,-1
2025-05-07,559.67,567.47,558.71,565.96,-1.0,-1.0,-1
2025-05-08,569.65,573.69,567.03,567.27,-1.0,-1.0,-1
2025-05-09,568.77,569.58,564.78,568.43,-1.0,-1.0,-1
2025-05-12,580.36,580.36,566.55,578.29,-1.0,-1.0,-1
2025-05-13,579.97,582.62,576.06,576.34,-1.0,-1.0,-1
2025-05-14,577.5,578.84,572.32,573.2,-1.0,-1.0,-1
2025-05-15,573.86,582.97,573.61,582.6,-1.0,-1.0,-1
2025-05-16,580.6,584.18,580.6,583.08,-1.0,-1.0,-1
2025-05-19,581.01,588.41,580.81,586.28,-1.0,-1.0,-1
2025-05-20,581.47,584.01,576.84,580.84,-1.0,-1.0,-1
2025-05-21,577.06,578.9,567.14,569.48,-1.0,-1.0,-1
2025-05-22,569.25,573.01,567.06,570.07,-1.0,-1.0,-1
2025-05-23,563.97,567.47,562.67,563.75,-1.0,-1.0,-1
2025-05-27,568.87,574.49,566.77,574.48,-1.0,-1.0,-1
2025-05-28,574.4,578.78,573.01,575.77,-1.0,-1.0,-1
2025-05-29,576.88,578.53,572.68,577.64,-1.0,-1.0,-1
2025-05-30,576.77,584.72,576.54,584.41,-1.0,-1.0,-1
2025-06-02,581.89,581.89,574.79,581.0,-1.0,-1.0,-1
2025-06-03,580.28,582.45,573.51,581.88,-1.0,-1.0,-1
2025-06-04,582.49,586.62,582.28,583.96,-1.0,-1.0,-1
2025-06-05,585.91,586.78,582.68,585.29,-1.0,-1.0,-1
2025-06-06,588.23,590.94,586.17,590.01,-1.0,-1.0,-1
2025-06-09,589.06,590.03,579.96,584.13,-1.0,-1.0,-1
2025-06-10,585.39,589.81,583.16,589.61,-1.0,-1.0,-1
2025-06-11,589.9,594.71,587.69,591.08,-1.0,-1.0,-1
2025-06-12,587.81,590.49,584.74,589.18,-1.0,-1.0,-1
2025-06-13,574.95,575.15,552.7,561.84,-1.0,-1.0,-1
2025-06-16,565.07,574.98,562.33,568.73,-1.0,-1.0,-1
2025-06-17,565.68,571.29,564.04,569.68,-1.0,-1.0,-1
2025-06-18,569.5,570.98,534.16,538.93,-1.0,-1.0,-1
2025-06-20,536.93,538.29,527.67,532.09,-1.0,-1.0,-1
2025-06-23,531.15,542.94,527.91,542.45,-1.0,-1.0,-1
2025-06-24,557.18,564.13,552.65,557.96,-1.0,-1.0,-1
2025-06-25,556.45,558.39,548.75,549.92,-1.0,-1.0,-1
2025-06-26,546.25,548.91,542.17,546.07,-1.0,-1.0,-1
2025-06-27,545.52,556.53,544.52,551.3,-1.0,-1.0,-1
2025-06-30,553.52,562.52,551.83,561.65,-1.0,-1.0,-1
2025-07-01,560.5,566.21,557.26,564.82,-1.0,-1.0,-1
2025-07-02,564.74,565.95,557.64,561.56,-1.0,-1.0,-1
2025-07-03,561.61,569.7,559.88,568.75,-1.0,-1.0,-1
2025-07-07,568.71,570.75,560.43,565.08,-1.0,-1.0,-1
2025-07-08,565.55,566.66,560.55,562.49,-1.0,-1.0,-1
2025-07-09,561.87,565.26,559.31,564.69,-1.0,-1.0,-1
2025-07-10,564.09,565.97,561.11,563.75,-1.0,-1.0,-1
2025-07-11,560.88,560.88,545.95,549.99,-1.0,-1.0,-1
2025-07-14,548.52,559.07,547.94,553.11,-1.0,-1.0,-1
2025-07-15,553.53,554.6,548.77,550.06,-1.0,-1.0,-1
2025-07-16,551.72,555.33,549.7,555.18,-1.0,-1.0,-1
2025-07-17,553.14,557.25,550.61,555.96,-1.0,-1.0,-1
2025-07-18,557.44,557.44,551.05,551.92,-1.0,-1.0,-1
2025-07-21,553.45,558.13,552.38,554.96,-1.0,-1.0,-1
