date,open,high,low,close,volume,average,barCount
2025-03-27,601.79,614.24,600.25,602.44,-1.0,-1.0,-1
2025-03-28,600.38,601.76,573.93,576.82,-1.0,-1.0,-1
2025-03-31,562.97,578.7,553.31,576.37,-1.0,-1.0,-1
2025-04-01,570.66,589.91,570.0,585.97,-1.0,-1.0,-1
2025-04-02,573.81,592.58,573.49,583.93,-1.0,-1.0,-1
2025-04-03,546.25,552.56,530.3,531.57,-1.0,-1.0,-1
2025-04-04,506.62,517.87,494.37,504.82,-1.0,-1.0,-1
2025-04-07,486.45,539.47,481.9,516.32,-1.0,-1.0,-1
2025-04-08,542.97,547.35,502.84,510.81,-1.0,-1.0,-1
2025-04-09,509.26,587.84,502.27,584.6,-1.0,-1.0,-1
2025-04-10,575.77,581.1,535.56,546.31,-1.0,-1.0,-1
2025-04-11,535.19,547.2,529.0,543.37,-1.0,-1.0,-1
2025-04-14,556.24,557.59,528.3,531.65,-1.0,-1.0,-1
2025-04-15,531.71,537.87,517.6,521.29,-1.0,-1.0,-1
2025-04-16,508.77,513.22,495.65,502.39,-1.0,-1.0,-1
2025-04-17,504.99,507.25,498.07,501.53,-1.0,-1.0,-1
2025-04-21,491.33,493.54,479.89,484.55,-1.0,-1.0,-1
2025-04-22,491.57,506.91,486.38,500.11,-1.0,-1.0,-1
2025-04-23,528.53,535.34,516.53,519.89,-1.0,-1.0,-1
2025-04-24,519.01,533.93,517.59,532.97,-1.0,-1.0,-1
2025-04-25,546.8,549.8,536.34,547.38,-1.0,-1.0,-1
2025-04-28,555.92,558.42,540.66,549.79,-1.0,-1.0,-1
2025-04-29,545.53,556.54,544.47,554.56,-1.0,-1.0,-1
2025-04-30,538.15,549.06,529.75,547.2,-1.0,-1.0,-1
2025-05-01,591.83,592.78,570.63,572.15,-1.0,-1.0,-1
2025-05-02,583.5,604.27,578.37,597.48,-1.0,-1.0,-1
2025-05-05,591.81,603.15,588.1,599.09,-1.0,-1.0,-1
2025-05-06,592.53,596.0,586.62,587.12,-1.0,-1.0,-1
2025-05-07,590.53,603.08,586.8,597.17,-1.0,-1.0,-1
2025-05-08,606.28,611.24,596.58,597.91,-1.0,-1.0,-1
2025-05-09,603.72,606.93,591.8,592.61,-1.0,-1.0,-1
2025-05-12,630.85,640.37,621.07,639.59,-1.0,-1.0,-1
2025-05-13,645.58,660.87,642.93,656.16,-1.0,-1.0,-1
2025-05-14,661.59,662.6,654.4,659.33,-1.0,-1.0,-1
2025-05-15,654.3,657.31,638.7,643.8,-1.0,-1.0,-1
2025-05-16,637.96,640.42,626.19,640.29,-1.0,-1.0,-1
2025-05-19,628.57,643.0,627.98,640.3,-1.0,-1.0,-1
2025-05-20,635.65,639.32,632.26,637.13,-1.0,-1.0,-1
2025-05-21,630.89,646.56,630.19,635.04,-1.0,-1.0,-1
2025-05-22,634.21,643.2,630.77,636.45,-1.0,-1.0,-1
2025-05-23,623.75,632.47,622.88,627.15,-1.0,-1.0,-1
2025-05-27,636.19,643.03,632.85,642.1,-1.0,-1.0,-1
2025-05-28,642.6,650.83,642.59,643.73,-1.0,-1.0,-1
2025-05-29,651.74,653.34,639.5,644.97,-1.0,-1.0,-1
2025-05-30,642.35,649.39,632.82,646.73,-1.0,-1.0,-1
2025-06-02,644.55,673.27,644.2,671.33,-1.0,-1.0,-1
2025-06-03,671.25,675.52,665.07,667.08,-1.0,-1.0,-1
2025-06-04,669.77,688.79,668.74,688.09,-1.0,-1.0,-1
2025-06-05,692.31,694.38,682.36,684.62,-1.0,-1.0,-1
2025-06-06,696.13,702.66,691.86,697.81,-1.0,-1.0,-1
2025-06-09,698.51,705.11,694.0,694.19,-1.0,-1.0,-1
2025-06-10,700.97,703.14,691.69,702.47,-1.0,-1.0,-1
2025-06-11,703.7,708.78,692.0,694.31,-1.0,-1.0,-1
2025-06-12,693.18,695.37,687.09,693.5,-1.0,-1.0,-1
2025-06-13,687.53,694.48,681.04,682.93,-1.0,-1.0,-1
2025-06-16,699.34,707.05,693.58,702.12,-1.0,-1.0,-1
2025-06-17,701.64,705.88,696.06,697.34,-1.0,-1.0,-1
2025-06-18,698.18,701.54,694.94,695.61,-1.0,-1.0,-1
2025-06-20,700.75,701.77,678.73,682.24,-1.0,-1.0,-1
2025-06-23,683.73,699.06,678.86,698.6,-1.0,-1.0,-1
2025-06-24,704.88,713.15,702.19,712.13,-1.0,-1.0,-1
2025-06-25,713.3,716.51,705.53,708.89,-1.0,-1.0,-1
2025-06-26,714.36,728.22,711.13,726.14,-1.0,-1.0,-1
2025-06-27,726.4,735.41,725.92,733.58,-1.0,-1.0,-1
2025-06-30,744.6,747.88,734.38,738.12,-1.0,-1.0,-1
2025-07-01,736.88,737.62,715.37,719.1,-1.0,-1.0,-1
2025-07-02,715.25,720.2,712.84,713.19,-1.0,-1.0,-1
2025-07-03,726.55,729.03,714.43,718.47,-1.0,-1.0,-1
2025-07-07,717.45,727.11,713.55,718.64,-1.0,-1.0,-1
2025-07-08,722.3,722.81,714.9,720.52,-1.0,-1.0,-1
2025-07-09,722.72,737.47,722.71,732.72,-1.0,-1.0,-1
2025-07-10,732.01,735.7,719.61,727.25,-1.0,-1.0,-1
2025-07-11,722.5,725.2,709.71,717.45,-1.0,-1.0,-1
2025-07-14,717.6,727.89,716.72,720.73,-1.0,-1.0,-1
2025-07-15,724.02,724.24,709.96,710.33,-1.0,-1.0,-1
2025-07-16,713.37,713.65,699.38,702.73,-1.0,-1.0,-1
2025-07-17,704.91,705.56,697.1,701.48,-1.0,-1.0,-1
2025-07-18,702.56,704.6,691.68,704.05,-1.0,-1.0,-1
2025-07-21,706.65,716.98,705.88,712.97,-1.0,-1.0,-1
2025-07-22,716.67,716.73,701.46,704.55,-1.0,-1.0,-1
2025-07-23,706.37,714.53,705.04,713.83,-1.0,-1.0,-1
2025-07-24,717.2,723.59,714.07,714.93,-1.0,-1.0,-1
2025-07-25,717.03,720.66,711.94,712.82,-1.0,-1.0,-1
2025-07-28,715.48,724.61,712.68,717.63,-1.0,-1.0,-1
2025-07-29,719.92,724.37,699.95,699.96,-1.0,-1.0,-1
2025-07-30,708.3,708.43,691.35,695.57,-1.0,-1.0,-1
2025-07-31,776.12,784.72,765.63,773.37,-1.0,-1.0,-1
2025-08-01,760.57,765.84,745.36,749.82,-1.0,-1.0,-1
2025-08-04,760.13,776.83,758.53,776.25,-1.0,-1.0,-1
2025-08-05,776.45,783.02,763.14,763.55,-1.0,-1.0,-1
2025-08-06,769.65,773.58,760.5,771.82,-1.0,-1.0,-1
2025-08-07,774.18,774.9,759.72,762.04,-1.0,-1.0,-1
2025-08-08,762.75,769.76,758.64,769.09,-1.0,-1.0,-1
2025-08-11,770.19,773.37,764.63,765.8,-1.0,-1.0,-1
2025-08-12,773.45,793.59,772.41,789.9,-1.0,-1.0,-1
