date,open,high,low,close,volume,average,barCount
2025-03-28,388.29,389.14,376.94,378.79,-1.0,-1.0,-1
2025-03-31,372.5,377.06,367.26,374.86,-1.0,-1.0,-1
2025-04-01,374.69,382.85,373.23,382.11,-1.0,-1.0,-1
2025-04-02,378.14,385.07,376.63,382.05,-1.0,-1.0,-1
2025-04-03,374.74,377.46,369.36,373.11,-1.0,-1.0,-1
2025-04-04,364.13,374.49,359.48,359.75,-1.0,-1.0,-1
2025-04-07,350.5,370.85,344.82,357.82,-1.0,-1.0,-1
2025-04-08,368.25,373.61,350.39,355.49,-1.0,-1.0,-1
2025-04-09,353.54,393.23,353.17,390.43,-1.0,-1.0,-1
2025-04-10,382.25,383.86,367.75,381.19,-1.0,-1.0,-1
2025-04-11,380.63,389.98,378.94,388.05,-1.0,-1.0,-1
2025-04-14,393.0,394.59,384.21,388.04,-1.0,-1.0,-1
2025-04-15,388.5,391.87,384.21,385.66,-1.0,-1.0,-1
2025-04-16,380.65,381.56,368.24,371.57,-1.0,-1.0,-1
2025-04-17,373.85,374.32,366.92,367.65,-1.0,-1.0,-1
2025-04-21,362.82,364.38,355.69,359.16,-1.0,-1.0,-1
2025-04-22,363.38,367.74,359.94,366.73,-1.0,-1.0,-1
2025-04-23,375.77,380.37,373.04,374.11,-1.0,-1.0,-1
2025-04-24,375.68,388.45,375.17,387.15,-1.0,-1.0,-1
2025-04-25,386.93,392.15,384.61,391.64,-1.0,-1.0,-1
2025-04-28,391.93,392.72,386.66,391.14,-1.0,-1.0,-1
2025-04-29,391.13,395.03,390.38,393.97,-1.0,-1.0,-1
2025-04-30,390.31,396.65,384.48,392.54,-1.0,-1.0,-1
2025-05-01,431.46,436.98,424.93,425.18,-1.0,-1.0,-1
2025-05-02,431.86,439.44,430.0,435.07,-1.0,-1.0,-1
2025-05-05,432.87,439.49,432.17,436.04,-1.0,-1.0,-1
2025-05-06,432.2,437.7,431.26,433.29,-1.0,-1.0,-1
2025-05-07,433.87,438.13,431.12,433.35,-1.0,-1.0,-1
2025-05-08,438.03,443.67,435.63,438.33,-1.0,-1.0,-1
2025-05-09,440.04,440.56,435.87,438.78,-1.0,-1.0,-1
2025-05-12,445.96,449.27,439.84,449.22,-1.0,-1.0,-1
2025-05-13,447.75,450.64,445.37,448.93,-1.0,-1.0,-1
2025-05-14,448.14,453.86,447.99,452.88,-1.0,-1.0,-1
2025-05-15,450.76,456.18,450.43,453.09,-1.0,-1.0,-1
2025-05-16,452.52,454.34,448.73,454.22,-1.0,-1.0,-1
2025-05-19,450.88,459.57,450.77,458.79,-1.0,-1.0,-1
2025-05-20,455.31,458.33,454.36,458.3,-1.0,-1.0,-1
2025-05-21,454.83,457.77,451.85,452.43,-1.0,-1.0,-1
2025-05-22,454.95,460.27,453.9,454.9,-1.0,-1.0,-1
2025-05-23,449.75,453.65,448.93,450.3,-1.0,-1.0,-1
2025-05-27,456.35,460.89,456.23,460.66,-1.0,-1.0,-1
2025-05-28,460.96,462.53,456.93,457.39,-1.0,-1.0,-1
2025-05-29,461.69,461.74,455.3,458.51,-1.0,-1.0,-1
2025-05-30,459.85,461.65,455.54,459.59,-1.0,-1.0,-1
2025-06-02,457.28,462.07,456.99,461.99,-1.0,-1.0,-1
2025-06-03,461.47,464.13,460.88,463.14,-1.0,-1.0,-1
2025-06-04,464.06,465.7,463.02,463.86,-1.0,-1.0,-1
2025-06-05,464.8,469.64,464.08,467.66,-1.0,-1.0,-1
2025-06-06,470.0,473.34,468.78,470.2,-1.0,-1.0,-1
2025-06-09,469.85,473.43,468.62,472.73,-1.0,-1.0,-1
2025-06-10,471.19,472.79,466.99,470.95,-1.0,-1.0,-1
2025-06-11,470.36,475.47,469.67,472.88,-1.0,-1.0,-1
2025-06-12,475.02,480.42,473.61,479.0,-1.0,-1.0,-1
2025-06-13,476.23,479.07,472.83,474.96,-1.0,-1.0,-1
2025-06-16,475.36,480.68,475.04,479.1,-1.0,-1.0,-1
2025-06-17,475.13,478.72,474.11,478.0,-1.0,-1.0,-1
2025-06-18,478.3,480.98,475.27,480.2,-1.0,-1.0,-1
2025-06-20,482.18,483.42,476.87,477.2,-1.0,-1.0,-1
2025-06-23,477.94,487.72,472.56,485.96,-1.0,-1.0,-1
