date,open,high,low,close,volume,average,barCount
2025-03-27,97.45,98.92,96.71,97.65,-1.0,-1.0,-1
2025-03-28,97.23,97.49,92.97,93.36,-1.0,-1.0,-1
2025-03-31,92.05,93.44,90.07,93.24,-1.0,-1.0,-1
2025-04-01,92.77,93.21,91.2,92.82,-1.0,-1.0,-1
2025-04-02,92.26,94.94,91.7,93.5,-1.0,-1.0,-1
2025-04-03,90.1,94.65,90.1,91.71,-1.0,-1.0,-1
2025-04-04,89.69,90.6,85.39,85.57,-1.0,-1.0,-1
2025-04-07,82.92,90.6,82.15,86.83,-1.0,-1.0,-1
2025-04-08,91.27,92.26,85.81,87.08,-1.0,-1.0,-1
2025-04-09,85.63,95.18,85.43,94.42,-1.0,-1.0,-1
2025-04-10,93.19,94.12,89.41,92.16,-1.0,-1.0,-1
2025-04-11,91.95,94.41,90.66,91.77,-1.0,-1.0,-1
2025-04-14,93.27,94.85,91.98,93.16,-1.0,-1.0,-1
2025-04-15,95.0,99.32,94.81,97.64,-1.0,-1.0,-1
2025-04-16,97.6,98.12,94.95,96.18,-1.0,-1.0,-1
2025-04-17,96.91,98.46,95.68,97.45,-1.0,-1.0,-1
2025-04-21,98.47,101.85,97.38,98.83,-1.0,-1.0,-1
2025-04-22,100.43,106.47,100.42,103.95,-1.0,-1.0,-1
2025-04-23,104.72,106.11,103.27,104.9,-1.0,-1.0,-1
2025-04-24,104.7,110.06,104.7,109.67,-1.0,-1.0,-1
2025-04-25,109.7,110.65,109.18,110.13,-1.0,-1.0,-1
2025-04-28,110.21,111.39,108.27,111.01,-1.0,-1.0,-1
2025-04-29,110.4,112.79,109.59,112.54,-1.0,-1.0,-1
2025-04-30,111.35,113.31,110.18,113.11,-1.0,-1.0,-1
2025-05-01,112.22,114.22,111.25,113.3,-1.0,-1.0,-1
2025-05-02,113.67,115.91,113.37,115.64,-1.0,-1.0,-1
2025-05-05,111.49,114.39,110.74,113.42,-1.0,-1.0,-1
2025-05-06,112.93,114.77,112.71,113.77,-1.0,-1.0,-1
2025-05-07,113.92,116.4,113.82,115.63,-1.0,-1.0,-1
2025-05-08,116.17,116.17,113.92,114.47,-1.0,-1.0,-1
2025-05-09,114.71,115.08,113.36,114.01,-1.0,-1.0,-1
2025-05-12,112.73,113.0,110.29,110.99,-1.0,-1.0,-1
2025-05-13,111.27,114.77,110.72,113.8,-1.0,-1.0,-1
2025-05-14,112.96,115.25,112.9,115.05,-1.0,-1.0,-1
2025-05-15,114.83,118.74,114.76,117.74,-1.0,-1.0,-1
2025-05-16,119.5,119.63,117.95,119.17,-1.0,-1.0,-1
2025-05-19,117.36,119.16,117.26,119.12,-1.0,-1.0,-1
2025-05-20,118.61,119.3,117.92,119.18,-1.0,-1.0,-1
2025-05-21,118.69,121.11,118.63,119.42,-1.0,-1.0,-1
2025-05-22,119.32,119.84,118.73,118.78,-1.0,-1.0,-1
2025-05-23,118.38,119.13,118.05,118.57,-1.0,-1.0,-1
2025-05-27,119.45,121.17,119.31,121.16,-1.0,-1.0,-1
2025-05-28,121.15,121.56,120.61,120.89,-1.0,-1.0,-1
2025-05-29,120.64,120.83,117.65,118.46,-1.0,-1.0,-1
2025-05-30,119.71,121.15,118.09,120.66,-1.0,-1.0,-1
2025-06-02,120.25,121.91,119.7,121.87,-1.0,-1.0,-1
2025-06-03,121.97,122.98,121.12,121.81,-1.0,-1.0,-1
2025-06-04,122.0,124.27,122.0,123.95,-1.0,-1.0,-1
2025-06-05,124.06,126.26,123.8,125.1,-1.0,-1.0,-1
2025-06-06,125.98,125.98,123.59,124.15,-1.0,-1.0,-1
2025-06-09,124.09,124.09,122.17,122.4,-1.0,-1.0,-1
2025-06-10,122.73,122.86,118.09,120.29,-1.0,-1.0,-1
2025-06-11,120.22,122.82,119.65,121.99,-1.0,-1.0,-1
2025-06-12,121.96,122.97,121.19,121.51,-1.0,-1.0,-1
2025-06-13,120.69,122.08,120.17,121.24,-1.0,-1.0,-1
2025-06-16,121.46,122.62,121.32,122.53,-1.0,-1.0,-1
2025-06-17,122.0,123.17,121.66,122.09,-1.0,-1.0,-1
2025-06-18,122.96,124.14,122.04,122.21,-1.0,-1.0,-1
2025-06-20,123.38,124.83,122.48,123.11,-1.0,-1.0,-1
2025-06-23,123.8,125.46,121.57,125.36,-1.0,-1.0,-1
2025-06-24,126.05,128.23,125.52,127.87,-1.0,-1.0,-1
2025-06-25,128.62,129.75,127.4,127.56,-1.0,-1.0,-1
2025-06-26,128.14,130.72,128.08,130.69,-1.0,-1.0,-1
2025-06-27,130.73,133.11,130.13,132.3,-1.0,-1.0,-1
2025-06-30,133.22,134.11,132.16,133.89,-1.0,-1.0,-1
2025-07-01,133.83,133.85,128.26,129.36,-1.0,-1.0,-1
2025-07-02,129.7,129.93,127.19,128.44,-1.0,-1.0,-1
2025-07-03,129.1,130.24,127.97,129.63,-1.0,-1.0,-1
2025-07-07,129.35,129.51,127.61,128.94,-1.0,-1.0,-1
2025-07-08,129.1,129.28,126.03,127.46,-1.0,-1.0,-1
2025-07-09,127.23,128.82,126.65,128.81,-1.0,-1.0,-1
2025-07-10,128.62,128.91,124.64,124.97,-1.0,-1.0,-1
2025-07-11,125.95,126.03,123.13,124.41,-1.0,-1.0,-1
2025-07-14,124.62,127.05,124.02,126.17,-1.0,-1.0,-1
2025-07-15,126.1,127.13,124.32,126.0,-1.0,-1.0,-1
2025-07-16,126.1,127.08,124.99,125.04,-1.0,-1.0,-1
2025-07-17,125.3,127.74,124.48,127.64,-1.0,-1.0,-1
2025-07-18,124.31,124.52,120.12,120.88,-1.0,-1.0,-1
2025-07-21,120.54,123.7,119.85,123.3,-1.0,-1.0,-1
2025-07-22,123.08,123.23,118.76,119.01,-1.0,-1.0,-1
2025-07-23,119.08,119.19,117.43,117.63,-1.0,-1.0,-1
2025-07-24,117.9,118.33,116.29,118.09,-1.0,-1.0,-1
2025-07-25,117.84,118.73,117.47,118.03,-1.0,-1.0,-1
2025-07-28,118.07,119.76,116.87,117.48,-1.0,-1.0,-1
