date,open,high,low,close,volume,average,barCount
2025-03-31,105.09,108.96,103.65,108.77,-1.0,-1.0,-1
2025-04-01,108.52,110.2,106.47,110.16,-1.0,-1.0,-1
2025-04-02,107.31,111.98,106.79,110.31,-1.0,-1.0,-1
2025-04-03,103.53,105.63,101.6,101.78,-1.0,-1.0,-1
2025-04-04,98.94,100.11,92.11,94.3,-1.0,-1.0,-1
2025-04-07,87.53,101.75,86.62,97.72,-1.0,-1.0,-1
2025-04-08,103.81,105.85,94.46,96.73,-1.0,-1.0,-1
2025-04-09,98.92,115.1,97.73,114.23,-1.0,-1.0,-1
2025-04-10,109.35,110.86,103.01,107.71,-1.0,-1.0,-1
2025-04-11,108.5,111.49,107.48,110.71,-1.0,-1.0,-1
2025-04-14,114.17,114.28,109.06,110.7,-1.0,-1.0,-1
2025-04-15,110.98,113.62,110.5,112.11,-1.0,-1.0,-1
2025-04-16,104.51,106.79,100.45,104.5,-1.0,-1.0,-1
2025-04-17,104.47,104.48,100.05,101.42,-1.0,-1.0,-1
2025-04-21,98.78,99.43,95.04,96.81,-1.0,-1.0,-1
2025-04-22,98.76,99.82,97.28,98.88,-1.0,-1.0,-1
2025-04-23,104.52,104.8,102.01,102.53,-1.0,-1.0,-1
2025-04-24,103.48,106.55,103.12,106.38,-1.0,-1.0,-1
2025-04-25,106.86,111.92,105.73,110.97,-1.0,-1.0,-1
2025-04-28,109.71,110.36,106.02,108.64,-1.0,-1.0,-1
2025-04-29,107.67,110.13,107.44,108.92,-1.0,-1.0,-1
2025-04-30,104.48,108.88,104.08,108.78,-1.0,-1.0,-1
2025-05-01,113.07,114.94,111.32,111.53,-1.0,-1.0,-1
2025-05-02,114.15,115.4,113.37,114.38,-1.0,-1.0,-1
2025-05-05,112.91,114.67,112.66,113.82,-1.0,-1.0,-1
2025-05-06,111.48,114.75,110.82,113.45,-1.0,-1.0,-1
2025-05-07,113.05,117.68,112.28,117.02,-1.0,-1.0,-1
2025-05-08,118.48,118.68,115.85,117.38,-1.0,-1.0,-1
2025-05-09,117.34,118.23,115.21,116.62,-1.0,-1.0,-1
2025-05-12,121.96,123.0,120.27,123.0,-1.0,-1.0,-1
2025-05-13,124.99,131.22,124.47,129.84,-1.0,-1.0,-1
2025-05-14,133.19,135.44,131.68,135.34,-1.0,-1.0,-1
2025-05-15,134.31,136.3,132.66,134.9,-1.0,-1.0,-1
2025-05-16,136.25,136.32,133.46,135.32,-1.0,-1.0,-1
2025-05-19,132.4,135.87,132.37,135.5,-1.0,-1.0,-1
2025-05-20,134.31,134.58,132.62,134.38,-1.0,-1.0,-1
2025-05-21,133.04,137.4,130.59,131.74,-1.0,-1.0,-1
2025-05-22,132.24,134.25,131.55,132.79,-1.0,-1.0,-1
2025-05-23,130.0,132.67,129.17,131.3,-1.0,-1.0,-1
2025-05-27,134.1,135.66,133.31,135.5,-1.0,-1.0,-1
2025-05-28,136.03,137.25,134.79,134.81,-1.0,-1.0,-1
2025-05-29,142.25,143.49,137.91,139.19,-1.0,-1.0,-1
2025-05-30,138.7,139.62,132.92,134.84,-1.0,-1.0,-1
2025-06-02,135.55,138.12,135.4,137.37,-1.0,-1.0,-1
2025-06-03,138.75,142.0,137.95,141.27,-1.0,-1.0,-1
2025-06-04,142.2,142.39,139.54,141.84,-1.0,-1.0,-1
2025-06-05,142.17,144.0,138.83,139.94,-1.0,-1.0,-1
2025-06-06,142.55,143.27,141.51,141.69,-1.0,-1.0,-1
2025-06-09,143.2,145.0,141.94,142.55,-1.0,-1.0,-1
2025-06-10,142.67,144.29,141.52,143.96,-1.0,-1.0,-1
2025-06-11,144.61,144.99,141.87,142.84,-1.0,-1.0,-1
2025-06-12,141.98,145.0,141.86,145.0,-1.0,-1.0,-1
2025-06-13,142.48,143.59,140.85,141.96,-1.0,-1.0,-1
2025-06-16,143.34,146.18,143.25,144.68,-1.0,-1.0,-1
2025-06-17,144.52,145.22,143.77,144.04,-1.0,-1.0,-1
2025-06-18,144.0,145.62,143.13,145.47,-1.0,-1.0,-1
2025-06-20,145.46,146.2,142.65,143.77,-1.0,-1.0,-1
2025-06-23,142.48,144.73,142.03,144.18,-1.0,-1.0,-1
