date,open,high,low,close,volume,average,barCount
2025-03-27,167.53,169.03,166.78,168.67,-1.0,-1.0,-1
2025-03-28,169.12,169.71,167.61,168.0,-1.0,-1.0,-1
2025-03-31,168.69,171.17,168.38,170.43,-1.0,-1.0,-1
2025-04-01,170.76,171.08,169.07,170.5,-1.0,-1.0,-1
2025-04-02,170.42,170.74,168.32,169.44,-1.0,-1.0,-1
2025-04-03,174.31,174.88,170.75,172.29,-1.0,-1.0,-1
2025-04-04,171.82,173.54,163.47,163.72,-1.0,-1.0,-1
2025-04-07,163.03,164.71,159.22,160.21,-1.0,-1.0,-1
2025-04-08,161.86,163.26,156.72,158.44,-1.0,-1.0,-1
2025-04-09,157.71,164.65,156.72,162.17,-1.0,-1.0,-1
2025-04-10,162.9,165.06,160.73,163.53,-1.0,-1.0,-1
2025-04-11,163.69,168.02,162.76,166.83,-1.0,-1.0,-1
2025-04-14,166.84,170.1,166.0,169.19,-1.0,-1.0,-1
2025-04-15,169.2,170.14,168.34,168.54,-1.0,-1.0,-1
2025-04-16,168.93,169.66,165.79,166.38,-1.0,-1.0,-1
2025-04-17,167.06,171.65,167.06,170.68,-1.0,-1.0,-1
2025-04-21,169.7,169.94,164.3,165.79,-1.0,-1.0,-1
2025-04-22,165.96,168.76,164.63,167.84,-1.0,-1.0,-1
2025-04-23,166.1,166.62,163.14,165.68,-1.0,-1.0,-1
2025-04-24,160.31,161.25,156.59,159.5,-1.0,-1.0,-1
2025-04-25,159.71,161.71,157.78,161.01,-1.0,-1.0,-1
2025-04-28,161.04,162.54,160.41,161.88,-1.0,-1.0,-1
2025-04-29,161.2,162.4,159.26,162.19,-1.0,-1.0,-1
2025-04-30,162.54,163.15,159.97,162.49,-1.0,-1.0,-1
2025-05-01,160.66,161.35,159.14,159.97,-1.0,-1.0,-1
2025-05-02,160.93,161.77,159.91,160.55,-1.0,-1.0,-1
2025-05-05,160.77,160.99,158.02,158.76,-1.0,-1.0,-1
2025-05-06,158.5,159.72,157.69,159.21,-1.0,-1.0,-1
2025-05-07,159.17,160.06,158.57,159.23,-1.0,-1.0,-1
