date,open,high,low,close,volume,average,barCount
2025-03-27,69.0,69.96,68.7,68.84,-1.0,-1.0,-1
2025-03-28,68.07,68.19,64.94,65.16,-1.0,-1.0,-1
2025-03-31,64.26,65.44,63.41,65.23,-1.0,-1.0,-1
2025-04-01,64.61,66.36,64.6,66.11,-1.0,-1.0,-1
2025-04-02,65.2,67.57,65.11,67.13,-1.0,-1.0,-1
2025-04-03,63.14,63.95,60.95,61.71,-1.0,-1.0,-1
2025-04-04,60.01,60.2,57.32,58.38,-1.0,-1.0,-1
2025-04-07,56.69,61.47,55.86,58.54,-1.0,-1.0,-1
2025-04-08,59.86,61.26,56.47,57.42,-1.0,-1.0,-1
2025-04-09,56.64,64.16,56.5,63.87,-1.0,-1.0,-1
2025-04-10,62.28,62.46,58.93,60.57,-1.0,-1.0,-1
2025-04-11,60.71,62.81,60.44,62.55,-1.0,-1.0,-1
2025-04-14,63.7,63.9,61.69,62.26,-1.0,-1.0,-1
2025-04-15,62.37,62.79,61.64,62.01,-1.0,-1.0,-1
2025-04-16,61.45,61.47,59.72,60.27,-1.0,-1.0,-1
2025-04-17,60.29,61.48,60.15,60.98,-1.0,-1.0,-1
2025-04-21,60.14,60.96,59.45,60.29,-1.0,-1.0,-1
2025-04-22,60.76,61.92,59.96,61.41,-1.0,-1.0,-1
2025-04-23,62.68,64.58,62.17,62.44,-1.0,-1.0,-1
2025-04-24,62.73,64.84,62.73,64.75,-1.0,-1.0,-1
2025-04-25,64.52,65.42,64.48,65.34,-1.0,-1.0,-1
2025-04-28,65.31,65.84,64.13,64.89,-1.0,-1.0,-1
2025-04-29,66.28,67.42,64.37,66.3,-1.0,-1.0,-1
2025-04-30,65.16,65.99,63.53,65.8,-1.0,-1.0,-1
2025-05-01,65.51,66.11,64.85,65.41,-1.0,-1.0,-1
2025-05-02,66.13,67.76,65.99,67.25,-1.0,-1.0,-1
2025-05-05,66.96,69.37,66.9,68.54,-1.0,-1.0,-1
2025-05-06,67.95,68.93,67.77,68.06,-1.0,-1.0,-1
2025-05-07,68.36,68.95,67.72,68.7,-1.0,-1.0,-1
2025-05-08,69.44,70.95,69.34,70.47,-1.0,-1.0,-1
2025-05-09,70.79,71.33,70.02,70.26,-1.0,-1.0,-1
2025-05-12,72.97,74.15,71.85,72.31,-1.0,-1.0,-1
