date,open,high,low,close,volume,average,barCount
2025-03-27,272.37,291.84,271.89,273.22,-1.0,-1.0,-1
2025-03-28,275.58,276.12,260.62,263.49,-1.0,-1.0,-1
2025-03-31,249.25,260.57,243.43,259.22,-1.0,-1.0,-1
2025-04-01,263.76,277.43,259.3,268.5,-1.0,-1.0,-1
2025-04-02,254.6,284.97,251.31,282.65,-1.0,-1.0,-1
2025-04-03,265.21,276.26,261.53,267.13,-1.0,-1.0,-1
2025-04-04,255.48,260.87,236.0,239.31,-1.0,-1.0,-1
2025-04-07,223.75,251.93,214.31,233.3,-1.0,-1.0,-1
2025-04-08,245.0,250.4,217.84,221.63,-1.0,-1.0,-1
2025-04-09,224.61,274.67,223.89,272.09,-1.0,-1.0,-1
2025-04-10,260.03,262.44,239.33,252.38,-1.0,-1.0,-1
2025-04-11,251.84,257.69,241.4,252.18,-1.0,-1.0,-1
2025-04-14,258.31,261.75,245.96,252.35,-1.0,-1.0,-1
2025-04-15,249.9,258.73,247.59,254.12,-1.0,-1.0,-1
2025-04-16,247.67,251.96,233.91,241.59,-1.0,-1.0,-1
2025-04-17,243.44,244.3,237.71,241.54,-1.0,-1.0,-1
2025-04-21,230.23,232.13,222.8,227.48,-1.0,-1.0,-1
2025-04-22,230.88,242.77,229.9,238.17,-1.0,-1.0,-1
2025-04-23,254.88,259.44,244.47,250.78,-1.0,-1.0,-1
2025-04-24,250.78,259.53,249.23,259.52,-1.0,-1.0,-1
2025-04-25,261.69,286.85,259.68,284.88,-1.0,-1.0,-1
2025-04-28,289.02,294.84,272.45,285.87,-1.0,-1.0,-1
2025-04-29,285.53,293.33,279.48,292.01,-1.0,-1.0,-1
2025-04-30,279.96,284.44,270.79,282.1,-1.0,-1.0,-1
2025-05-01,280.06,290.85,279.82,280.5,-1.0,-1.0,-1
2025-05-02,284.97,294.76,279.84,287.25,-1.0,-1.0,-1
2025-05-05,284.57,284.86,274.39,280.2,-1.0,-1.0,-1
2025-05-06,273.11,277.71,271.44,275.23,-1.0,-1.0,-1
2025-05-07,276.92,277.87,271.04,276.15,-1.0,-1.0,-1
2025-05-08,279.66,289.8,279.47,284.88,-1.0,-1.0,-1
2025-05-09,290.27,307.0,290.03,298.28,-1.0,-1.0,-1
2025-05-12,321.94,322.18,311.55,318.61,-1.0,-1.0,-1
2025-05-13,319.99,337.58,316.83,333.93,-1.0,-1.0,-1
2025-05-14,342.45,349.99,337.0,347.47,-1.0,-1.0,-1
2025-05-15,340.32,346.11,334.74,342.75,-1.0,-1.0,-1
2025-05-16,346.24,351.63,342.33,349.79,-1.0,-1.0,-1
2025-05-19,336.34,342.99,333.45,341.93,-1.0,-1.0,-1
2025-05-20,347.93,354.98,341.65,343.81,-1.0,-1.0,-1
2025-05-21,344.47,347.31,332.23,334.53,-1.0,-1.0,-1
2025-05-22,331.93,347.27,331.41,340.98,-1.0,-1.0,-1
2025-05-23,337.49,343.18,333.21,339.36,-1.0,-1.0,-1
2025-05-27,347.24,363.76,347.23,362.85,-1.0,-1.0,-1
2025-05-28,364.88,364.91,355.92,356.87,-1.0,-1.0,-1
2025-05-29,365.29,367.69,356.0,358.37,-1.0,-1.0,-1
2025-05-30,355.57,363.65,345.29,345.76,-1.0,-1.0,-1
2025-06-02,343.53,348.02,333.33,342.69,-1.0,-1.0,-1
2025-06-03,346.6,355.4,343.06,344.46,-1.0,-1.0,-1
2025-06-04,345.1,345.53,327.35,332.12,-1.0,-1.0,-1
2025-06-05,322.44,324.48,273.22,284.82,-1.0,-1.0,-1
2025-06-06,298.84,305.49,291.17,295.13,-1.0,-1.0,-1
2025-06-09,285.96,309.83,281.86,308.66,-1.0,-1.0,-1
2025-06-10,314.96,327.82,310.69,326.17,-1.0,-1.0,-1
2025-06-11,334.39,335.44,322.76,326.5,-1.0,-1.0,-1
2025-06-12,323.08,332.54,316.88,319.18,-1.0,-1.0,-1
2025-06-13,313.98,332.97,313.29,325.37,-1.0,-1.0,-1
2025-06-16,331.31,332.03,326.47,329.13,-1.0,-1.0,-1
2025-06-17,326.02,327.22,314.77,316.28,-1.0,-1.0,-1
2025-06-18,317.32,329.31,315.49,322.09,-1.0,-1.0,-1
2025-06-20,327.88,332.35,317.78,322.17,-1.0,-1.0,-1
2025-06-23,327.6,357.53,327.51,348.65,-1.0,-1.0,-1
2025-06-24,356.2,356.2,340.47,340.49,-1.0,-1.0,-1
2025-06-25,342.71,342.87,320.41,327.59,-1.0,-1.0,-1
2025-06-26,324.63,331.05,323.65,325.83,-1.0,-1.0,-1
2025-06-27,324.58,329.32,317.49,323.8,-1.0,-1.0,-1
2025-06-30,319.93,325.56,316.61,317.62,-1.0,-1.0,-1
2025-07-01,298.46,305.87,293.28,300.71,-1.0,-1.0,-1
2025-07-02,312.58,316.82,303.83,315.66,-1.0,-1.0,-1
2025-07-03,318.04,318.44,312.79,315.19,-1.0,-1.0,-1
