date,open,high,low,close,volume,average,barCount
2025-03-27,517.11,521.07,512.99,515.56,-1.0,-1.0,-1
2025-03-28,516.19,520.83,515.2,515.72,-1.0,-1.0,-1
2025-03-31,517.87,528.14,517.63,523.72,-1.0,-1.0,-1
2025-04-01,524.64,528.24,520.98,522.96,-1.0,-1.0,-1
2025-04-02,523.48,524.36,516.71,522.96,-1.0,-1.0,-1
2025-04-03,527.89,548.49,527.81,541.24,-1.0,-1.0,-1
2025-04-04,538.29,551.65,524.87,525.47,-1.0,-1.0,-1
2025-04-07,515.43,529.15,503.59,524.34,-1.0,-1.0,-1
2025-04-08,581.84,584.33,547.64,554.36,-1.0,-1.0,-1
2025-04-09,558.63,588.97,554.73,577.92,-1.0,-1.0,-1
2025-04-10,580.76,601.84,580.22,594.11,-1.0,-1.0,-1
2025-04-11,592.16,606.35,586.26,599.13,-1.0,-1.0,-1
2025-04-14,596.75,596.75,579.4,587.01,-1.0,-1.0,-1
2025-04-15,591.94,592.55,582.29,583.69,-1.0,-1.0,-1
2025-04-16,583.78,594.7,582.89,585.43,-1.0,-1.0,-1
2025-04-17,480.98,489.16,447.14,454.05,-1.0,-1.0,-1
2025-04-21,449.75,453.27,424.82,424.83,-1.0,-1.0,-1
2025-04-22,423.38,431.4,417.48,427.24,-1.0,-1.0,-1
2025-04-23,427.97,438.71,423.87,427.4,-1.0,-1.0,-1
2025-04-24,429.08,429.62,423.66,424.44,-1.0,-1.0,-1
2025-04-25,423.56,423.94,412.09,418.25,-1.0,-1.0,-1
2025-04-28,419.6,424.05,415.63,419.96,-1.0,-1.0,-1
2025-04-29,421.46,421.75,409.15,409.16,-1.0,-1.0,-1
2025-04-30,409.0,413.24,401.11,411.24,-1.0,-1.0,-1
2025-05-01,411.8,412.0,399.88,400.33,-1.0,-1.0,-1
2025-05-02,401.44,402.0,393.16,399.0,-1.0,-1.0,-1
2025-05-05,399.43,409.58,397.83,404.83,-1.0,-1.0,-1
2025-05-06,403.9,404.47,393.43,394.62,-1.0,-1.0,-1
2025-05-07,395.25,395.28,385.82,390.98,-1.0,-1.0,-1
2025-05-08,390.36,390.88,385.4,385.79,-1.0,-1.0,-1
2025-05-09,386.08,386.49,378.65,380.6,-1.0,-1.0,-1
2025-05-12,381.75,387.06,376.83,378.87,-1.0,-1.0,-1
2025-05-13,334.62,341.71,309.12,311.23,-1.0,-1.0,-1
2025-05-14,322.15,322.78,307.13,307.98,-1.0,-1.0,-1
2025-05-15,274.38,276.53,248.89,274.09,-1.0,-1.0,-1
2025-05-16,279.3,294.46,269.22,291.81,-1.0,-1.0,-1
2025-05-19,304.77,316.25,297.35,315.88,-1.0,-1.0,-1
2025-05-20,320.92,324.62,312.68,321.6,-1.0,-1.0,-1
2025-05-21,300.96,309.97,300.08,303.0,-1.0,-1.0,-1
2025-05-22,293.44,305.6,292.59,296.5,-1.0,-1.0,-1
2025-05-23,297.11,299.65,291.69,295.52,-1.0,-1.0,-1
2025-05-27,299.02,299.23,289.19,295.03,-1.0,-1.0,-1
2025-05-28,293.99,303.76,293.32,297.94,-1.0,-1.0,-1
