date,open,high,low,close,volume,average,barCount
2025-03-27,344.32,350.81,343.39,349.75,-1.0,-1.0,-1
2025-03-28,348.98,351.62,341.65,342.64,-1.0,-1.0,-1
2025-03-31,339.21,351.86,334.57,350.38,-1.0,-1.0,-1
2025-04-01,350.41,350.41,342.57,346.13,-1.0,-1.0,-1
2025-04-02,343.66,348.14,343.07,346.18,-1.0,-1.0,-1
2025-04-03,333.52,344.75,333.52,339.29,-1.0,-1.0,-1
2025-04-04,328.8,334.75,312.4,312.82,-1.0,-1.0,-1
2025-04-07,302.68,321.65,299.09,312.24,-1.0,-1.0,-1
2025-04-08,321.88,326.24,304.02,308.38,-1.0,-1.0,-1
2025-04-09,305.9,334.1,305.59,332.24,-1.0,-1.0,-1
2025-04-10,326.8,330.07,313.3,324.46,-1.0,-1.0,-1
2025-04-11,323.21,336.99,322.64,333.28,-1.0,-1.0,-1
2025-04-14,337.65,339.39,333.21,335.47,-1.0,-1.0,-1
2025-04-15,335.64,339.34,335.29,335.91,-1.0,-1.0,-1
2025-04-16,334.01,337.12,328.86,331.28,-1.0,-1.0,-1
2025-04-17,331.61,334.34,328.53,329.65,-1.0,-1.0,-1
2025-04-21,328.13,328.92,316.66,319.9,-1.0,-1.0,-1
2025-04-22,323.86,332.54,322.63,331.44,-1.0,-1.0,-1
2025-04-23,337.6,341.18,333.28,334.34,-1.0,-1.0,-1
2025-04-24,334.0,336.7,331.43,335.81,-1.0,-1.0,-1
2025-04-25,334.2,336.38,332.28,335.31,-1.0,-1.0,-1
2025-04-28,336.77,339.25,335.1,337.67,-1.0,-1.0,-1
2025-04-29,338.3,342.26,336.56,341.32,-1.0,-1.0,-1
2025-04-30,334.0,346.44,333.29,344.86,-1.0,-1.0,-1
2025-05-01,345.72,345.75,340.08,342.36,-1.0,-1.0,-1
2025-05-02,347.26,350.11,346.14,347.35,-1.0,-1.0,-1
2025-05-05,346.89,351.01,346.18,349.0,-1.0,-1.0,-1
2025-05-06,346.33,349.65,345.9,347.55,-1.0,-1.0,-1
2025-05-07,347.9,351.12,347.2,349.71,-1.0,-1.0,-1
2025-05-08,351.67,355.35,350.9,351.67,-1.0,-1.0,-1
2025-05-09,352.08,353.77,350.67,352.46,-1.0,-1.0,-1
2025-05-12,360.05,360.05,351.19,355.89,-1.0,-1.0,-1
2025-05-13,356.05,358.91,354.6,356.2,-1.0,-1.0,-1
2025-05-14,356.71,358.38,355.26,356.38,-1.0,-1.0,-1
2025-05-15,356.14,363.75,356.14,362.5,-1.0,-1.0,-1
2025-05-16,362.38,366.12,360.88,365.25,-1.0,-1.0,-1
2025-05-19,362.62,369.12,362.62,367.98,-1.0,-1.0,-1
2025-05-20,368.2,368.2,364.73,366.93,-1.0,-1.0,-1
2025-05-21,364.61,365.99,358.21,358.4,-1.0,-1.0,-1
2025-05-22,357.75,359.99,356.63,357.96,-1.0,-1.0,-1
2025-05-23,353.45,356.01,352.29,353.62,-1.0,-1.0,-1
2025-05-27,355.6,359.99,354.5,359.58,-1.0,-1.0,-1
2025-05-28,358.57,360.89,358.06,359.92,-1.0,-1.0,-1
2025-05-29,360.93,363.05,358.78,362.48,-1.0,-1.0,-1
2025-05-30,362.43,366.96,361.24,365.11,-1.0,-1.0,-1
2025-06-02,362.7,365.44,360.03,365.38,-1.0,-1.0,-1
2025-06-03,364.7,366.81,361.51,365.87,-1.0,-1.0,-1
2025-06-04,366.74,369.61,366.5,368.04,-1.0,-1.0,-1
2025-06-05,370.78,371.0,365.88,366.94,-1.0,-1.0,-1
2025-06-06,369.52,370.88,367.64,370.15,-1.0,-1.0,-1
2025-06-09,370.17,370.4,362.12,366.6,-1.0,-1.0,-1
2025-06-10,367.3,371.37,366.57,370.88,-1.0,-1.0,-1
2025-06-11,370.3,375.5,369.34,373.54,-1.0,-1.0,-1
2025-06-12,371.78,374.1,369.54,371.36,-1.0,-1.0,-1
2025-06-13,361.05,363.02,345.13,352.94,-1.0,-1.0,-1
2025-06-16,356.5,360.17,354.42,355.6,-1.0,-1.0,-1
2025-06-17,353.67,359.58,353.39,357.91,-1.0,-1.0,-1
2025-06-18,358.3,358.48,338.07,340.37,-1.0,-1.0,-1
2025-06-20,340.25,340.25,335.0,338.36,-1.0,-1.0,-1
2025-06-23,337.52,344.22,335.8,343.79,-1.0,-1.0,-1
2025-06-24,351.98,354.38,347.96,351.73,-1.0,-1.0,-1
2025-06-25,351.1,351.15,345.59,346.02,-1.0,-1.0,-1
2025-06-26,344.25,346.83,342.07,346.2,-1.0,-1.0,-1
2025-06-27,346.0,352.02,345.72,348.77,-1.0,-1.0,-1
2025-06-30,349.35,355.64,348.88,354.74,-1.0,-1.0,-1
2025-07-01,354.6,357.02,351.63,355.48,-1.0,-1.0,-1
2025-07-02,355.7,356.41,350.23,354.09,-1.0,-1.0,-1
2025-07-03,354.6,358.99,353.61,358.63,-1.0,-1.0,-1
2025-07-07,358.92,359.53,354.51,356.59,-1.0,-1.0,-1
2025-07-08,356.0,358.28,353.28,354.11,-1.0,-1.0,-1
2025-07-09,354.99,357.64,353.75,357.17,-1.0,-1.0,-1
2025-07-10,356.85,357.51,353.51,355.75,-1.0,-1.0,-1
2025-07-11,353.5,353.5,344.38,347.8,-1.0,-1.0,-1
2025-07-14,346.42,351.91,345.25,350.49,-1.0,-1.0,-1
2025-07-15,348.75,350.16,346.75,346.89,-1.0,-1.0,-1
2025-07-16,347.02,350.67,345.75,349.84,-1.0,-1.0,-1
2025-07-17,349.09,351.28,348.33,350.19,-1.0,-1.0,-1
2025-07-18,349.41,349.76,347.19,348.94,-1.0,-1.0,-1
2025-07-21,348.91,353.66,348.83,351.24,-1.0,-1.0,-1
2025-07-22,351.87,354.51,350.31,351.8,-1.0,-1.0,-1
2025-07-23,353.0,355.74,351.34,355.63,-1.0,-1.0,-1
2025-07-24,355.24,357.19,353.93,354.18,-1.0,-1.0,-1
2025-07-25,354.24,357.63,353.1,357.1,-1.0,-1.0,-1
2025-07-28,356.38,358.27,354.73,355.55,-1.0,-1.0,-1
2025-07-29,356.96,358.41,350.81,352.81,-1.0,-1.0,-1
2025-07-30,350.42,356.43,347.48,351.12,-1.0,-1.0,-1
2025-07-31,350.02,352.84,345.14,345.54,-1.0,-1.0,-1
2025-08-01,344.05,345.71,338.11,339.04,-1.0,-1.0,-1
2025-08-04,341.07,344.34,340.16,342.16,-1.0,-1.0,-1
2025-08-05,342.08,342.46,335.59,337.12,-1.0,-1.0,-1
2025-08-06,338.3,341.41,335.44,339.73,-1.0,-1.0,-1
2025-08-07,341.11,342.08,328.71,332.09,-1.0,-1.0,-1
2025-08-08,333.83,337.34,333.5,336.87,-1.0,-1.0,-1
2025-08-11,337.3,337.8,334.54,335.98,-1.0,-1.0,-1
2025-08-12,336.1,338.58,334.78,336.75,-1.0,-1.0,-1
2025-08-13,336.98,343.43,336.68,342.69,-1.0,-1.0,-1
2025-08-14,342.02,346.08,341.81,345.35,-1.0,-1.0,-1
2025-08-15,346.25,348.4,342.89,344.5,-1.0,-1.0,-1
2025-08-18,343.84,345.66,340.97,342.7,-1.0,-1.0,-1
2025-08-19,343.22,346.31,341.9,342.55,-1.0,-1.0,-1
2025-08-20,343.11,347.33,342.89,343.96,-1.0,-1.0,-1
2025-08-21,342.75,344.52,339.69,343.73,-1.0,-1.0,-1
2025-08-22,345.49,351.12,345.34,349.94,-1.0,-1.0,-1
2025-08-25,349.99,350.73,347.52,348.94,-1.0,-1.0,-1
2025-08-26,349.19,353.38,347.42,351.06,-1.0,-1.0,-1
2025-08-27,351.1,353.4,349.86,350.28,-1.0,-1.0,-1
2025-08-28,350.63,351.03,348.62,349.93,-1.0,-1.0,-1
2025-08-29,349.48,352.61,348.94,351.9,-1.0,-1.0,-1
2025-09-02,349.59,350.03,346.04,349.85,-1.0,-1.0,-1
2025-09-03,349.19,350.85,347.29,350.74,-1.0,-1.0,-1
2025-09-04,350.4,352.59,349.18,350.34,-1.0,-1.0,-1
2025-09-05,351.38,352.6,340.26,343.05,-1.0,-1.0,-1
2025-09-08,342.19,344.38,341.07,342.38,-1.0,-1.0,-1
2025-09-09,341.58,346.31,341.45,344.05,-1.0,-1.0,-1
2025-09-10,342.88,342.88,336.48,338.25,-1.0,-1.0,-1
2025-09-11,338.88,343.53,337.96,343.47,-1.0,-1.0,-1
2025-09-12,342.45,343.14,339.18,339.44,-1.0,-1.0,-1
2025-09-15,340.4,342.74,338.4,339.09,-1.0,-1.0,-1
2025-09-16,337.11,340.55,333.6,340.04,-1.0,-1.0,-1
2025-09-17,339.5,346.18,339.5,346.06,-1.0,-1.0,-1
2025-09-18,345.33,345.33,338.25,338.31,-1.0,-1.0,-1
2025-09-19,340.45,342.66,338.29,341.52,-1.0,-1.0,-1
2025-09-22,339.6,344.87,338.67,344.38,-1.0,-1.0,-1
2025-09-23,344.08,345.32,337.67,338.86,-1.0,-1.0,-1
2025-09-24,338.63,339.85,337.91,338.61,-1.0,-1.0,-1
2025-09-25,338.1,340.26,334.55,334.99,-1.0,-1.0,-1
2025-09-26,336.9,339.43,336.22,337.32,-1.0,-1.0,-1
2025-09-29,338.01,340.65,335.59,340.23,-1.0,-1.0,-1
2025-09-30,340.49,345.56,338.51,341.22,-1.0,-1.0,-1
2025-10-01,341.45,349.33,340.74,347.86,-1.0,-1.0,-1
2025-10-02,345.81,347.2,343.62,346.0,-1.0,-1.0,-1
2025-10-03,346.0,353.09,345.95,349.91,-1.0,-1.0,-1
2025-10-06,350.26,351.27,344.4,349.36,-1.0,-1.0,-1
2025-10-07,350.06,354.34,350.0,352.4,-1.0,-1.0,-1
2025-10-08,353.17,354.92,351.14,351.34,-1.0,-1.0,-1
